universe,portfolio,strategy,weighting,rebalance_months,tc_bps,growth_multiple,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,avg_turnover_pct,avg_long_stocks,avg_short_stocks,last_long_stocks,last_short_stocks,months,monthly_rebalance_ann_return,monthly_rebalance_sharpe,monthly_rebalance_max_dd,monthly_rebalance_growth,ann_return_minus_monthly,sharpe_minus_monthly,max_dd_minus_monthly,growth_vs_monthly
all,SMB small-minus-big,long_short,vw,6,10,3.6877,5.93,14.33,0.473,-45.49,8.6,1762.8,195.7,2668,344,272,3.86,0.349,-43.77,2.3589,2.07,0.124,-1.7199999999999989,1.5633134087922336
all,SMB small-minus-big,long_short,vw,6,20,3.61,5.83,14.33,0.467,-45.58,8.6,1762.8,195.7,2668,344,272,3.68,0.336,-43.94,2.2662,2.15,0.131,-1.6400000000000006,1.5929750242697025
all,SMB small-minus-big,long_short,vw,6,50,3.3864,5.53,14.32,0.447,-45.87,8.6,1762.8,195.7,2668,344,272,3.13,0.296,-44.45,2.0092,2.4000000000000004,0.15100000000000002,-1.4199999999999946,1.6854469440573363
all,SMB small-minus-big,long_short,vw,6,100,3.0433,5.03,14.31,0.414,-46.34,8.6,1762.8,195.7,2668,344,272,2.22,0.23,-45.29,1.6437,2.81,0.18399999999999997,-1.0500000000000043,1.8514935815538116
all,SMB small-minus-big,long_short,vw,7,0,3.0894,5.1,13.42,0.438,-44.37,8.5,1831.3,194.2,3116,348,272,4.04,0.362,-43.6,2.4553,1.0599999999999996,0.07600000000000001,-0.769999999999996,1.2582576467234148
all,SMB small-minus-big,long_short,vw,7,10,3.0253,5.01,13.41,0.431,-44.48,8.5,1831.3,194.2,3116,348,272,3.86,0.349,-43.77,2.3589,1.15,0.08200000000000002,-0.7099999999999937,1.2825045572088685
all,SMB small-minus-big,long_short,vw,7,20,2.9626,4.91,13.4,0.425,-44.58,8.5,1831.3,194.2,3116,348,272,3.68,0.336,-43.94,2.2662,1.23,0.08899999999999997,-0.6400000000000006,1.3072985614685377
all,SMB small-minus-big,long_short,vw,7,50,2.7817,4.62,13.39,0.404,-44.88,8.5,1831.3,194.2,3116,348,272,3.13,0.296,-44.45,2.0092,1.4900000000000002,0.10800000000000004,-0.4299999999999997,1.3844813856261198
all,SMB small-minus-big,long_short,vw,7,100,2.5036,4.13,13.37,0.37,-45.39,8.5,1831.3,194.2,3116,348,272,2.22,0.23,-45.29,1.6437,1.9099999999999997,0.13999999999999999,-0.10000000000000142,1.5231489931252662
all,SMB small-minus-big,long_short,vw,8,0,4.0732,6.39,14.38,0.503,-45.33,7.8,1768.7,195.3,2804,329,272,4.04,0.362,-43.6,2.4553,2.3499999999999996,0.14100000000000001,-1.7299999999999969,1.6589418808292267
all,SMB small-minus-big,long_short,vw,8,10,3.9945,6.3,14.39,0.497,-45.42,7.8,1768.7,195.3,2804,329,272,3.86,0.349,-43.77,2.3589,2.44,0.14800000000000002,-1.6499999999999986,1.6933740302683453
all,SMB small-minus-big,long_short,vw,8,20,3.9172,6.21,14.4,0.49,-45.51,7.8,1768.7,195.3,2804,329,272,3.68,0.336,-43.94,2.2662,2.53,0.15399999999999997,-1.5700000000000003,1.728532344894537
all,SMB small-minus-big,long_short,vw,8,50,3.6939,5.93,14.43,0.472,-45.77,7.8,1768.7,195.3,2804,329,272,3.13,0.296,-44.45,2.0092,2.8,0.176,-1.3200000000000003,1.8384929325104522
all,SMB small-minus-big,long_short,vw,8,100,3.3486,5.48,14.49,0.44,-46.21,7.8,1768.7,195.3,2804,329,272,2.22,0.23,-45.29,1.6437,3.2600000000000002,0.21,-0.9200000000000017,2.0372330717284175
all,SMB small-minus-big,long_short,vw,9,0,4.4782,6.84,14.11,0.54,-41.2,7.9,1779.7,194.7,2668,344,272,4.04,0.362,-43.6,2.4553,2.8,0.17800000000000005,2.3999999999999986,1.8238911741945996
all,SMB small-minus-big,long_short,vw,9,10,4.3921,6.75,14.11,0.534,-41.3,7.9,1779.7,194.7,2668,344,272,3.86,0.349,-43.77,2.3589,2.89,0.18500000000000005,2.470000000000006,1.8619271694433845
all,SMB small-minus-big,long_short,vw,9,20,4.3077,6.66,14.1,0.528,-41.4,7.9,1779.7,194.7,2668,344,272,3.68,0.336,-43.94,2.2662,2.98,0.192,2.539999999999999,1.900847233253905
all,SMB small-minus-big,long_short,vw,9,50,4.0637,6.38,14.09,0.509,-41.7,7.9,1779.7,194.7,2668,344,272,3.13,0.296,-44.45,2.0092,3.25,0.21300000000000002,2.75,2.0225462870794346
all,SMB small-minus-big,long_short,vw,9,100,3.6861,5.92,14.09,0.479,-42.19,7.9,1779.7,194.7,2668,344,272,2.22,0.23,-45.29,1.6437,3.6999999999999997,0.24899999999999997,3.1000000000000014,2.242562511407191
all,SMB small-minus-big,long_short,vw,10,0,3.8105,6.08,13.74,0.498,-42.77,8.0,1774.1,193.8,2668,344,272,4.04,0.362,-43.6,2.4553,2.04,0.136,0.8299999999999983,1.5519488453549466
all,SMB small-minus-big,long_short,vw,10,10,3.7376,5.99,13.72,0.493,-42.83,8.0,1774.1,193.8,2668,344,272,3.86,0.349,-43.77,2.3589,2.1300000000000003,0.14400000000000002,0.9400000000000048,1.5844673364703885
all,SMB small-minus-big,long_short,vw,10,20,3.666,5.9,13.71,0.487,-42.89,8.0,1774.1,193.8,2668,344,272,3.68,0.336,-43.94,2.2662,2.22,0.15099999999999997,1.0499999999999972,1.6176859941752713
all,SMB small-minus-big,long_short,vw,10,50,3.4591,5.63,13.67,0.469,-43.08,8.0,1774.1,193.8,2668,344,272,3.13,0.296,-44.45,2.0092,2.5,0.173,1.3700000000000045,1.7216304997013736
all,SMB small-minus-big,long_short,vw,10,100,3.1387,5.18,13.61,0.439,-43.38,8.0,1774.1,193.8,2668,344,272,2.22,0.23,-45.29,1.6437,2.9599999999999995,0.209,1.9099999999999966,1.909533369836345
all,SMB small-minus-big,long_short,vw,11,0,5.1539,7.5,14.56,0.57,-42.46,7.5,1781.0,191.7,2804,329,272,4.04,0.362,-43.6,2.4553,3.46,0.20799999999999996,1.1400000000000006,2.099091760680976
all,SMB small-minus-big,long_short,vw,11,10,5.06,7.42,14.56,0.565,-42.55,7.5,1781.0,191.7,2804,329,272,3.86,0.349,-43.77,2.3589,3.56,0.21599999999999997,1.220000000000006,2.1450676162618167
all,SMB small-minus-big,long_short,vw,11,20,4.9678,7.33,14.56,0.559,-42.64,7.5,1781.0,191.7,2804,329,272,3.68,0.336,-43.94,2.2662,3.65,0.22300000000000003,1.2999999999999972,2.1921277910157975
all,SMB small-minus-big,long_short,vw,11,50,4.7006,7.07,14.56,0.542,-42.9,7.5,1781.0,191.7,2804,329,272,3.13,0.296,-44.45,2.0092,3.9400000000000004,0.24600000000000005,1.5500000000000043,2.339538124626717
all,SMB small-minus-big,long_short,vw,11,100,4.2853,6.63,14.58,0.513,-43.34,7.5,1781.0,191.7,2804,329,272,2.22,0.23,-45.29,1.6437,4.41,0.28300000000000003,1.9499999999999957,2.607105919571698
all,SMB small-minus-big,long_short,vw,12,0,3.4418,5.6,14.5,0.449,-45.81,7.3,1682.5,192.8,2804,329,272,4.04,0.362,-43.6,2.4553,1.5599999999999996,0.08700000000000002,-2.210000000000001,1.4017838960615812
all,SMB small-minus-big,long_short,vw,12,10,3.3801,5.52,14.51,0.443,-45.89,7.3,1682.5,192.8,2804,329,272,3.86,0.349,-43.77,2.3589,1.6599999999999997,0.09400000000000003,-2.1199999999999974,1.4329136461910212
all,SMB small-minus-big,long_short,vw,12,20,3.3194,5.44,14.51,0.437,-45.98,7.3,1682.5,192.8,2804,329,272,3.68,0.336,-43.94,2.2662,1.7600000000000002,0.10099999999999998,-2.039999999999999,1.4647427411525902
all,SMB small-minus-big,long_short,vw,12,50,3.1435,5.18,14.54,0.42,-46.22,7.3,1682.5,192.8,2804,329,272,3.13,0.296,-44.45,2.0092,2.05,0.124,-1.769999999999996,1.564553055942664
all,SMB small-minus-big,long_short,vw,12,100,2.8698,4.76,14.59,0.392,-46.62,7.3,1682.5,192.8,2804,329,272,2.22,0.23,-45.29,1.6437,2.5399999999999996,0.162,-1.3299999999999983,1.7459390399707977
all,HML value-minus-growth,long_short,vw,1,0,2.5374,4.19,17.4,0.322,-68.86,25.1,500.7,497.3,814,821,272,4.19,0.322,-68.86,2.5374,0.0,0.0,0.0,1.0
all,HML value-minus-growth,long_short,vw,1,10,2.3756,3.89,17.39,0.305,-69.62,25.1,500.7,497.3,814,821,272,3.89,0.305,-69.62,2.3756,0.0,0.0,0.0,1.0
all,HML value-minus-growth,long_short,vw,1,20,2.224,3.59,17.38,0.288,-70.36,25.1,500.7,497.3,814,821,272,3.59,0.288,-70.36,2.224,0.0,0.0,0.0,1.0
