Month,BN,BR,BW,SN,SR,SW,RMW
2002-10,0.06864971331719387,0.004333297297782233,-0.034796864583423286,0.002031928931870152,-0.03574563176452759,-0.04082385132339022,0.022104190720034077
2002-11,0.006046405560317287,0.12683709552076702,0.05335158488150097,0.05577422420394862,0.06626119556567484,0.09941147655314356,0.02016761482589867
2002-12,0.02588372814246229,0.04755811084773334,0.016963534386739747,0.06369790090744532,0.047518709328610985,0.05298826475644391,0.01256251051658034
2003-01,-0.0014665680743526242,-0.0728390379178477,0.07146270285730401,0.009837240431621725,-0.040484285148880576,-0.05385181569501812,-0.06546710511450708
2003-02,0.05043253951768839,0.04247357877033431,-0.046784674664603274,0.009146588772879823,-0.026556601242362,0.019288826688585663,0.02170641275199496
2003-03,-0.05674238761204937,-0.08876603926612994,-0.08793511144793385,-0.08766795228674688,-0.10671505870049804,-0.1383890580231342,0.015421535752220022
2003-04,0.0032581364919421966,-0.08037497411342003,0.07123539079462408,0.05927012478207799,0.007945157950627857,0.0865498128699472,-0.11510750991368171
2003-05,0.22379908977423477,0.13263453020716737,0.09580482692033575,0.1653332234519715,0.12480576097233974,0.19781072323043758,-0.01808762948563311
2003-06,0.06128374848481091,0.13036475238104384,0.14436806388024623,0.1343103989672797,0.11720553725194548,0.19415111151154898,-0.04547444287940294
2003-07,0.05796418355988818,0.009347368579370855,0.03203902240463985,0.08490531530594268,0.09519320592340445,0.01125970690698326,0.030620922595576097
2003-08,0.26622099249482784,0.21895893775271943,0.16757267134378856,0.1636662836935505,0.13905236571837676,0.1218957225847297,0.034271454771288984
2003-09,0.06171201936466455,0.03585721956527941,0.036711361532370854,0.07681670784103083,0.03105657417497041,-0.01407715790032424,0.022139795054101602
2003-10,0.05304987648783165,0.015721121071916904,0.12122932062689006,0.062639580690247,0.05653284428509539,0.10529069184543839,-0.07713302355765808
2003-11,0.025676936777501533,0.0489564748194637,0.010904568996774083,0.09769870302095601,0.0970959285386627,0.118621605557598,0.008263114401877145
