Month,BA,BC,BN,SA,SC,SN,HML_ACC
2002-10,0.013677523780217339,0.10188751646600219,0.0400022419658595,-0.031249952529356567,-0.019588544455270637,-0.020664168308154998,0.04993570037993539
2002-11,0.1305203054248029,0.03589408296504564,0.018695698096873006,0.0521305616339837,0.09630724094234637,0.07210232013989087,-0.02522477157569729
2002-12,0.03489148934330319,0.161461163080382,0.024759336494390046,0.02024865456088859,0.06816614437931304,0.08259733154683165,0.08724358177775163
2003-01,-0.06821530646912584,-0.03156953314960379,0.03929155667379565,-0.02943568307829633,-0.029372628170733463,-0.0097748651535874,0.01835441411354246
2003-02,0.03682885963626106,0.04625536731360058,0.024066626683597454,0.0013543633945844625,0.025294277721912232,-0.0007875792749294316,0.016683211002333644
2003-03,-0.0721085718738812,-0.1086618810905538,-0.05658977796401316,-0.09521906017532294,-0.11521869516093651,-0.08057500106073993,-0.02827647210114309
2003-04,-0.10562878672839857,0.026889621227094037,0.02073124969842636,-0.0068232540800942576,0.07108153403790674,0.0854075691752283,0.10521159803674679
2003-05,0.04073193479600219,0.12568876630186174,0.28147695476026724,0.12294185349895859,0.2829031747689979,0.17945657316890765,0.12245907638794942
2003-06,0.10719850277277121,0.18724434876320967,0.07470145816974952,0.10171848203093921,0.18656743030220285,0.08427619410113382,0.08244739713085106
2003-07,0.07025061487334533,0.10679223337911496,0.02474776589439324,0.07402047576341282,0.07067151173705,0.08418909894280643,0.016596327239703418
2003-08,0.1375155728923066,0.42214523834669665,0.23956002477797775,0.13714222820312963,0.18521903610480106,0.11789835224913835,0.16635323667803076
2003-09,0.10029865174488035,-0.01431595974324058,0.03870205084145965,0.08624079035325233,-0.01256244615090783,0.031858291299891914,-0.10670892399614054
2003-10,0.03275061489006378,0.1693784704823498,0.05617765608802753,0.055970189281841935,0.11626612250223128,0.09225026579075732,0.09846189440633771
2003-11,0.04904303779173315,-0.035241536483084784,0.03569174821842856,0.10446048428772348,0.03218007710718637,0.11184703520774378,-0.07828249072767751
