Month,BH,BL,BN,SH,SL,SN,BAV,BAV_big,BAV_small
2000-11,,,0.07500658190662546,,,0.10050819806869325,,,
2000-12,,,-0.016976461808769883,,,-0.0018879543860215815,,,
2001-01,,,0.09763633408276289,,,0.022995980936519674,,,
2001-02,,,-0.032065214752924544,,,-0.019749607253384194,,,
2001-03,,,-0.19234818612295476,,,-0.252739633322455,,,
2001-04,,,-0.005212027079609097,,,-0.02860572831635361,,,
2001-05,,,0.05816604227697361,,,0.0988255132664537,,,
2001-06,,,-0.05775302259421727,,,-0.12506244634346403,,,
2001-07,,,-0.02627728728244999,,,-0.07994663506384904,,,
2001-08,,,-0.012462809118399119,,,0.001978416180621334,,,
2001-09,,,-0.14474780657479322,,,-0.11605115829479926,,,
2001-10,,,0.05606233244178915,,,0.07973682845648028,,,
2001-11,0.34642742864521964,0.03279582289186148,0.14233434580539037,0.28578603747734344,0.11081522252102864,0.11551485942411116,-0.24430121035483648,-0.31363160575335813,-0.17497081495631478
2001-12,0.088263065188061,0.004842833481976818,-0.05251709693571301,0.040038084458077314,-0.02049076436939535,-0.03932020149120465,-0.07197454026677842,-0.08342023170608417,-0.06052884882747266
2002-01,-0.0007270385072085618,0.028517921336269892,0.05373479998544932,0.060867946267458985,-0.003860676992982566,0.044920673992218364,-0.01774183170848155,0.029244959843478455,-0.06472862326044156
2002-02,-0.026588924684070033,0.15736776237499026,0.08750980427927438,0.05933176375971345,0.06689824463695307,0.11322541278668373,0.09576158396814996,0.1839566870590603,0.007566480877239622
2002-03,0.05958942626789645,0.020858431030242323,-0.034420510286275366,0.0720300162440513,0.02700187935568578,0.06089153778795609,-0.04187956606300982,-0.03873099523765412,-0.045028136888365516
2002-04,-0.04155894044436463,-0.044706215076736805,0.07992742417683572,0.11535149246657365,0.06164696112786961,0.0975599170783069,-0.02842590298553811,-0.003147274632372174,-0.053704531338704044
