Month,BH,BL,BN,SH,SL,SN,STR
2000-11,,,0.07500658190662546,,,0.10050819806869325,
2000-12,0.007236654178166312,0.035083193866490905,-0.055864628225744076,0.01109138953293298,-0.05894677414832934,0.030517315448489478,-0.021095811996468865
2001-01,0.11199556421495266,0.1086643137276841,0.09111222204869072,0.04822245453110534,-0.01299331126038887,0.024395139417351306,-0.03227350813938139
2001-02,0.03385959715661277,-0.10909266840663712,-0.06429242194753766,0.04501714200559527,-0.09477982616495441,-0.014843461987387205,-0.14137461686689978
2001-03,-0.22848851214401794,-0.3351983445658203,-0.08250422473382478,-0.2889467094918999,-0.28480879047822705,-0.20765975283550825,-0.05128595670406477
2001-04,-0.03409860486704141,-0.01953219504707122,0.04977800541410295,-0.008895963982766387,-0.05936272679401036,-0.02785505242858524,-0.017950176495636894
2001-05,0.03444109308643477,0.09383310997049875,0.09306182053600448,0.05129798431330643,0.16716793504528815,0.09412693935788337,0.08763098380802287
2001-06,-0.0702994245577168,-0.029399702520138748,-0.056127979671851125,-0.12157209945284202,-0.15877388927132152,-0.11019804098541171,0.0018489661095492799
2001-07,-0.016702461291561797,0.02674632493662257,-0.06395888368366266,-0.1293711693465238,-0.0705735948287457,-0.05111394738795189,0.05112318037298123
2001-08,-0.005151812003038498,-0.0344331522289479,-0.01691279954036066,0.006512885451539607,-0.0012269264841513082,-0.00028725675664293304,-0.018510576080800156
2001-09,-0.11626680660851024,-0.20441407540869277,-0.15462702608940282,-0.061151555568641006,-0.19543201451718878,-0.12172045840289883,-0.11121386387436516
2001-10,0.08359200889813528,0.09639255375683241,0.030357721433699116,0.07975575569894096,0.07985623859827888,0.0796521366049179,0.00645051387901753
2001-11,0.04537526688460399,0.22268050663278166,0.01650981879436955,0.12375756824419239,0.2379395079125914,0.12768360389931158,0.14574358970828832
2001-12,0.011478312069149094,-0.024031229132028285,0.008715726568573681,0.021693195605951947,-0.023095992450585866,-0.0341567012527356,-0.0401493646288576
2002-01,0.0040990370881419744,0.014691517263688905,0.06208914726576949,0.06651693791815022,0.03435662180200188,0.013118673047512202,-0.010783917970300708
2002-02,0.04984636275792986,0.13529444455401862,0.17581969203202288,0.05429265456955243,0.12261275313389014,0.0929154808949404,0.07688409018021324
2002-03,0.019219205943093145,0.0014895145859487192,0.02231129045966438,0.08594592400231003,0.05677820950622707,0.02152824101412481,-0.023448702926613697
2002-04,0.03422043657371258,-0.049214005080850796,-0.036743427002032536,0.11270657676861306,0.07572923180736155,0.08474615941074023,-0.060205893307907446
2002-05,-0.05990598368747098,-0.054984303770811434,-0.03626507391710656,-0.02973995521346277,0.006929970299899841,-0.042092919665624035,0.02079580271501108
2002-06,0.027116973735074965,0.026835355632614605,0.02339728965243687,0.11196716405691101,0.13531913655680455,0.08053928732540787,0.011535177198716592
2002-07,-0.05564320920440438,-0.03464192399254066,-0.0752772210758829,-0.11020732917797962,-0.12952440915169044,-0.10864819037709242,0.0008421026190764541
2002-08,0.04298875042670497,0.0687616866658113,0.05976509453038972,0.00430730738837012,0.013545630995176883,0.01689739029046376,0.01750562992295655
2002-09,-0.0802260608105635,0.026044771224420615,-0.05463972782938664,-0.03334711648540795,-0.08128816502815099,-0.050436346096438225,0.029164891746120532
2002-10,0.010684154377814814,0.036649370227160104,-0.044362602968431274,-0.031452561210899205,-0.023031321933427464,-0.024809611339970457,0.017193227563408513
2002-11,0.09548720320981907,0.07325497631896667,-0.16844431956531153,0.037750728965630635,0.113235952377352,0.06026100096923901,0.026626498260434478
2002-12,0.052163016149422495,0.01983631605328924,0.04675383308035847,0.07303332161420346,0.05338903829305801,0.041984132237079516,-0.025985491708639355
2003-01,-0.08671637973439472,0.05073105281186431,-0.014513775637991463,-0.07124868725151894,-0.014896846765592045,0.0009078872534207505,0.09689963651609297
2003-02,0.02016368142617549,-0.004062049879022529,0.033406754881855294,0.00787163890813154,-0.0030758154540338895,0.023400549885773045,-0.017586592833681722
2003-03,-0.05144866925809365,-0.09507557221571399,-0.07613126056987322,-0.06525195106355924,-0.15063197190542896,-0.09700383541448886,-0.06450346189974501
2003-04,-0.028886249152172555,0.03347734094973789,-0.041097005850013704,0.07549774509032325,0.09848903438054658,0.0690890686121583,0.04267743969606688
2003-05,0.10739414240951083,0.061891170634871,0.17691179443657032,0.20166064617182405,0.2230001285823808,0.21669182954808686,-0.01208174468204154
2003-06,0.11086580292852807,0.14693892914182816,0.07718877085898772,0.10912490316730179,0.1254665909222481,0.12036512390004112,0.026207406984123188
2003-07,0.024814460816494816,0.026204761360914115,0.0745858320591092,0.07366373166849924,0.07562505782007613,0.0959616942017759,0.0016758133479980938
2003-08,0.23168540421754621,0.3165764239231312,0.11861783778090616,0.18305444439473295,0.12392855913048524,0.12185043868574603,0.012882567220668606
2003-09,0.06557953357402094,0.004714364774482367,0.034381973886389354,0.026300143324598263,0.02697704907988347,0.05942371274375402,-0.030094131522126682
2003-10,0.05303198339813027,0.17613256783058237,0.07302620140711047,0.06536984954497592,0.1378648481432995,0.04803215150246997,0.09779779151538784
2003-11,0.01881414491415751,0.052162141031948904,0.03231436677014604,0.10447163839976706,0.14556058245355263,0.12238059308105928,0.03721847008578849
