Month,BG,BN,BV,SG,SN,SV,n_BG,n_BN,n_BV,n_SG,n_SN,n_SV,SMB,HML
2000-10,-0.09780956894077152,-0.06552863418536596,-0.05621214495937831,-0.10589278369903785,-0.09276266564585148,-0.027624830052457704,16.0,9.0,5.0,67.0,100.0,78.0,-0.0022433104372770797,0.05993268881398667
2000-11,0.04831223536006774,0.11850889812800279,0.11289521399765498,0.015268695543012667,0.12019690706609541,0.17536121579822353,16.0,9.0,5.0,67.0,99.0,78.0,0.0103701569738687,0.11233774944639906
2000-12,-0.05748078351481782,0.021436338813619765,0.0737935109386107,-0.046213066165534264,-0.0027287358020817356,0.07285173833075598,16.0,9.0,5.0,67.0,99.0,76.0,-0.00461304329142422,0.1251695494748594
2001-01,0.08474267870764883,0.11186258749749353,0.15704945502307815,0.007791494298597942,0.02614773153305428,0.0784891055530631,16.0,9.0,5.0,67.0,100.0,76.0,-0.08040879661450173,0.07150219378494724
2001-02,-0.08225991084351877,0.002752680188217159,0.04478128729255323,-0.05765014814530852,-0.023003448262953703,0.07192107283198525,16.0,9.0,5.0,67.0,99.0,76.0,0.008664473262157137,0.12830620955668287
2001-03,-0.2717755688860084,-0.11049415708000143,-0.1055140007310658,-0.25438555019395687,-0.21959535169052388,-0.17584132475622063,16.0,9.0,5.0,67.0,99.0,76.0,-0.05401283331454191,0.12240289679633941
2001-04,-0.018694004286969632,-0.025850829131166337,0.03809777907019519,-0.023294766617397822,-0.03742994169522266,0.03371424066145852,16.0,9.0,5.0,67.0,99.0,76.0,-0.006854471101073727,0.05690039531801058
2001-05,0.03605756842718523,0.08360534015208666,0.0694604543482156,0.07109150352954453,0.07541357471575537,0.10722889263518551,16.0,9.0,5.0,66.0,99.0,76.0,0.021536869317665974,0.03477013751333567
2001-06,-0.07073033432103783,-0.07241711086228385,-0.002897827843593993,-0.08877006884879955,-0.12464202281042173,-0.08545477036679992,16.0,9.0,5.0,66.0,100.0,76.0,-0.05094052966636851,0.03557390247972173
2001-07,-0.0041368844741912995,-0.08687521379029202,-0.017178474255758722,-0.036536279964413096,-0.04566207868268736,-0.05933099293923109,16.0,9.0,5.0,66.0,99.0,76.0,-0.011112926355363166,-0.017918151378192707
2001-08,-0.0023470873119323518,-0.023410467854480987,-0.014778269443942461,0.027492085167944443,-0.01588847039411481,-0.03480243484301586,16.0,9.0,5.0,64.0,97.0,76.0,0.005779001513723192,-0.03736285107148521
2001-09,-0.20041262782957084,-0.14118356971781199,-0.08549161676576979,-0.07899350246717486,-0.0953773593411813,-0.08791944476651502,16.0,9.0,5.0,63.0,97.0,75.0,0.05493250257942714,0.05299753438223045
2001-10,0.05559583978925167,0.05088158679909684,0.048611481929046414,0.03816252079670157,0.09597980287344768,0.08419023960529533,16.0,12.0,1.0,68.0,100.0,84.0,0.01383244854090037,0.04602771880859376
2001-11,0.11844176177267664,0.10410522818925014,0.03853638331274256,0.09868815617852487,0.14830727910318547,0.16059466426284713,16.0,12.0,1.0,67.0,100.0,84.0,0.012224222659891787,0.061906508084322256
2001-12,0.03701610903042131,-0.06865472961353088,-0.05042278127054123,-0.005987407634211214,-0.03282970474016969,-0.019460404893157746,16.0,12.0,1.0,68.0,100.0,84.0,-0.0035892458956356676,-0.013472997258946531
2002-01,-0.0022704337320008892,0.09237745064460517,0.057152499147669955,0.027448505419124785,0.05946321871929827,0.04641349075362776,16.0,12.0,1.0,67.0,99.0,83.0,-0.0015976463870906142,0.018964985334502974
2002-02,0.0359254587941996,0.20866070888765226,0.5472363445365733,0.035689506974075365,0.0832146848000329,0.16624085162400193,16.0,12.0,1.0,66.0,98.0,80.0,-0.06284098795387179,0.13055134464992657
2002-03,-0.013290132857291043,0.060543171358800676,0.22442409460232507,0.025899425920473933,0.0053520114638270925,0.044541543715692064,16.0,12.0,1.0,66.0,98.0,79.0,-0.008000800558604304,0.01864211779521813
2002-04,-0.06325129353069195,0.005215510651401368,0.2725408487848642,0.060448079056533016,0.05591721233047679,0.12744435283123812,16.0,12.0,1.0,66.0,98.0,79.0,0.0872005371331502,0.0669962737747051
2002-05,-0.05864980745993237,-0.06486881237729948,-0.08632868175791919,-0.04957594805420676,-0.050069453869989206,0.09967553552025353,16.0,12.0,1.0,66.0,96.0,79.0,0.011936608956517943,0.14925148357446028
2002-06,0.014455252967733779,0.020147446165467858,0.006323855905123965,0.013152253830518351,0.09129800024059921,0.15560971689771969,16.0,11.0,1.0,66.0,95.0,80.0,0.03492377746895796,0.14245746306720133
2002-07,-0.09778389919036172,-0.012903514757672372,0.033302112792009675,-0.05051540172719804,-0.10918821314603605,-0.14907972416906334,16.0,11.0,1.0,66.0,95.0,81.0,-0.024508100462599998,-0.0985643224418653
2002-08,0.0885710979107155,0.06329949238497769,0.06894174156772226,0.016085691538785474,0.016477946912351434,-0.03195777999557343,16.0,11.0,1.0,64.0,95.0,80.0,-0.05965347592227814,-0.0480434715343589
2002-09,-0.02112326770206411,-0.15980538376556286,-0.04279941741528848,-0.030443900811785912,-0.04610928477446879,-0.09838226929325498,16.0,11.0,1.0,64.0,93.0,80.0,0.05218773294068613,-0.06793836848146907
2002-10,-0.009972511372620233,0.04233560394926241,-0.015269051766021998,-0.041825781330376594,-0.04418990919393633,0.017650614967415112,15.0,13.0,2.0,69.0,98.0,82.0,-0.05918939155047755,0.05947639629779171
2002-11,-0.15391570993495993,0.009295037739371303,0.08197360832490487,0.03907808382803793,0.06740045256033295,0.10400314485457944,15.0,12.0,2.0,68.0,97.0,81.0,0.12554960429197976,0.06492506102654151
2002-12,0.04548153516908798,0.04220857438445118,0.06740917810598258,0.023258138585570652,0.06861440251336073,0.07100494029184971,15.0,12.0,2.0,68.0,97.0,81.0,0.0020912157726961124,0.04774680170627906
2003-01,-0.061145057782974646,0.014835193002950775,0.019263761758202606,-0.04193879863332631,-0.02565856716532345,-0.0005651752041872876,14.0,12.0,2.0,67.0,97.0,81.0,-0.010643750509312943,0.04137362342913902
2003-02,0.009996804480423732,0.03346071710172568,0.021833618334007782,0.006777378998654671,0.030170433854462133,0.01701611564843081,14.0,12.0,2.0,67.0,96.0,81.0,-0.0032548543645163027,0.010238736649776141
2003-03,-0.09036165116968654,-0.05781226360089717,-0.07713947051623143,-0.09246968733398211,-0.09190017390299086,-0.06808585824050586,14.0,12.0,2.0,65.0,96.0,81.0,-0.018097973233194634,0.02438382909347625
2003-04,-0.09210215333821403,0.00869113989268207,-0.021308893852660684,0.02400848708807343,0.08085809999465342,0.11302619743612671,14.0,12.0,2.0,64.0,95.0,80.0,0.09413880026412941,0.08901771034805328
2003-05,0.058969900367178155,0.23419112744714848,0.20501251968684428,0.09415908198766672,0.17370409279887253,0.2904671541503606,15.0,12.0,2.0,59.0,89.0,79.0,-0.012648926513893696,0.19630807216269391
2003-06,0.14523733286012563,0.07676822640951865,0.0866658032741994,0.08423496800703655,0.15899669729680838,0.104442037026228,15.0,12.0,2.0,55.0,89.0,78.0,0.010613053017100318,0.020207069019191448
2003-07,0.04486215912400375,0.05130344501191685,0.10883006511973554,0.09793038599007117,0.09515607414389796,0.05510374096005392,15.0,12.0,2.0,55.0,89.0,78.0,0.048460427999024266,-0.042826645030017256
2003-08,0.08379999151985533,0.24053062556169416,0.08799226743198961,0.12220435620968702,0.20747273704418837,0.16698889585811194,15.0,12.0,2.0,55.0,89.0,78.0,0.0026732380861629462,0.04478453964842492
2003-09,0.025074948152870032,0.0447963376817775,0.051895566126506136,0.026013268715391256,0.04752534090142836,0.018074007257365684,15.0,12.0,2.0,54.0,89.0,78.0,0.001833661891086042,-0.007939261458025572
2003-10,0.06090271248196106,0.05482045753369381,-0.08994906116718437,0.07846985451493212,0.08934028814531203,0.13071940748034225,11.0,16.0,1.0,75.0,96.0,85.0,0.02604348632229464,0.05224955296541013
2003-11,0.03617159240877124,0.023119061853964916,0.12264540029814164,0.09347176689165208,0.09196877238414139,0.07947828904220804,11.0,16.0,1.0,75.0,96.0,85.0,0.06307494250652865,-0.013993477849444047
2003-12,0.13716445532795887,0.2282589781611283,0.1672970607597426,0.16535819437086732,0.21602809308396215,0.18574154747089808,11.0,16.0,1.0,75.0,96.0,85.0,0.007981426982871145,0.020383353100030754
2004-01,-0.057233556576147517,-0.028896448629227335,-0.04812493155504393,-0.047542149202673335,-0.05554847943270588,-0.03349342944887705,11.0,16.0,1.0,75.0,95.0,85.0,-0.008480311715002183,0.014048719753796284
2004-02,-0.03621629270723153,-0.002138624692630512,0.024260507257177988,0.0162679732493038,-0.007188804269282589,-0.027599406969879583,11.0,16.0,1.0,75.0,95.0,85.0,0.023717043189941625,-0.043867380219183384
