Month,BH,BL,BN,SH,SL,SN,HML_SG
2002-10,0.041274130225910026,0.07461408028006693,0.03147114130976106,-0.02873323544647155,-0.021535904575909506,-0.023891862789751844,-0.02026864046235947
2002-11,0.13007116075779365,0.029890258758550465,0.047342279116558354,0.05134098367340395,0.08109448765209042,0.08029892818523901,0.03521369901027836
2002-12,0.0442501254680718,0.1458751063263539,0.007346366731546941,0.04674028344871471,0.0700345514277857,0.04794561402602784,-0.06245962441867654
2003-01,-0.06699588293971939,-0.017269470667287973,-0.008222055547642295,-0.046243730181004555,-0.03426881162848677,-0.016921141379764387,-0.030850665412474602
2003-02,0.026158086529037238,0.06217056941394209,0.032178494219986475,-0.015979035116819546,0.03343066967528755,0.001471632877438856,-0.04271109383850598
2003-03,-0.05759547649536897,-0.0326063127692795,-0.0883123393302578,-0.09252531401737239,-0.11926546734310273,-0.10563890108586942,0.0008754947998204365
2003-04,-0.11266622322779771,0.013048644826812164,-0.028347723226019424,0.004899658678896825,0.06377544480217066,0.08070226824353353,-0.09229532708894185
2003-05,0.057599186508152905,0.28659638277951377,0.17463317381828833,0.13686895536065447,0.235439197189742,0.14581764749507414,-0.1637837190502242
2003-06,0.11872951871182245,0.16910282888510805,0.06757257388746504,0.16204357921302548,0.1442369444190777,0.13072915293419884,-0.016283337689668886
2003-07,0.10225370078952754,0.06175576675413003,0.00510528889650656,0.0824093939552937,0.015999167734341097,0.07335204301957973,0.053454080128175055
2003-08,0.10434043950908566,0.3746524536608303,0.23445839402717056,0.18975759017770327,0.17158485446357644,0.12143667549242493,-0.1260696392188089
2003-09,0.08967984453998706,-0.003367888942761082,0.06565269850874438,0.050311502719673495,0.03261466338475189,0.005466589167690729,0.055372286408834875
2003-10,0.0469583776265417,0.006938603759673059,0.06900453271669918,0.06323088025262964,0.042519966573392166,0.10486845843974328,0.030365343773053062
2003-11,0.03621616934422693,0.01818759064584822,0.04614817998280164,0.10491277337012282,0.13465093237055997,0.09969249325231638,-0.0058547901510292155
2003-12,0.204123657213661,0.13347208510308844,0.2001890411362083,0.21078942705151207,0.16692092828284474,0.1896738182785292,0.05726003543961994
2004-01,-0.06106312604936335,-0.050652637505798986,-0.040535471932626674,-0.07925812028186345,-0.05943586033666382,-0.06798117171437267,-0.015116374244382003
2004-02,-0.0046782488566349265,-0.03924969396978895,-0.001033612016499635,-0.014892846018500683,-0.023542715545074592,-0.021944402519926885,0.021610657319863967
2004-03,0.04532533420102766,-0.055769402914783626,-0.00010337539337557771,-0.029213252035071698,-0.06752026540494298,-0.01298066462008807,0.06970087524284128
2004-04,0.0029417414950201567,-0.06912693303649747,0.029332926367890668,0.04742277963483428,0.05223752110182078,0.061219052437862506,0.03362696653226556
2004-05,-0.18060636364045288,-0.047371908673377774,-0.1981864122152845,-0.18169326451289894,-0.12791684516148166,-0.13967348376967154,-0.0935054371592462
2004-06,0.021159657145911833,-0.010077686082291823,0.03795609898682574,-0.0046357800994414056,0.04212494156456848,-0.01674111179445025,-0.007761689217903116
2004-07,0.13020562435814265,-0.0233740652132102,0.09234477131817691,0.08279201968872456,0.06832363848202672,0.07849088049998335,0.08402403538902535
2004-08,-0.0036235985231751764,-0.0014833013495159533,0.017536907458734135,0.07494291359408974,0.04350679165831011,0.05412217123211538,0.0146479123810602
2004-09,0.07931151542076065,0.11692324179505996,0.07081539671478432,0.08533675516497906,0.06818104005615694,0.08874378279459644,-0.010228005632738596
2004-10,0.08577885019779695,0.03240034427505193,0.0050433807771355435,0.006462777474591711,-0.013641998779177173,0.0050574462486337336,0.036741641088256956
2004-11,0.142278273391721,0.07842667877051111,0.046901457872826194,0.09137044378897893,0.11941156959675552,0.07541456483093832,0.017905234406716652
