Month,BA,BC,BN,SA,SC,SN,CMA
2003-10,0.06328041320713106,0.16446945827055964,0.0578551963461776,0.08868315784989872,0.09709391337005598,0.07537133348214012,0.05479990029179291
2003-11,0.0228298544465903,0.017224998460403318,0.052022487147258906,0.055068732768369405,0.10763027050749875,0.06869458719950258,0.02347834087647118
2003-12,0.19409916339045677,0.2154111562615789,0.21409382979989708,0.20981420086544156,0.15548728656131347,0.2084301354401978,-0.01650746071650297
2004-01,-0.032737735947527886,-0.029382562253064345,-0.02634686740886275,-0.04766097947906819,-0.07602051713988388,-0.03640721493023622,-0.012502181983176076
2004-02,-0.0147320486906319,0.04546679931420596,0.005470285943228728,0.0018807529078980767,-0.0250444791368911,-0.03430204711853773,0.016636807980024343
2004-03,0.038197261473110006,-0.04710793289606686,0.04984686078248468,-0.02466155858831988,-0.033011802678619334,0.018510652539878863,-0.046827719229738156
2004-04,0.023769946700109824,-0.023434380605829617,0.029204424657209425,0.04492347310693662,0.04066932897807905,0.08753902282902791,-0.025729235717398498
2004-05,-0.15723099716133618,-0.21539839689703136,-0.28940739728932574,-0.18172431267029898,-0.16442180874548865,-0.1963220531919532,-0.020432447905442436
2004-06,0.013491669798386216,0.038715078862532726,0.06874654315947475,0.0061837310012447765,0.03973962472289746,-0.014945390600090848,0.029389651392899598
2004-07,0.10842565264122737,0.15042356843228932,0.08213332581487222,0.047039977366556594,0.10439748528830152,0.07457547927863552,0.049677711856403434
2004-08,-0.0016020093084452313,0.0016515908139780355,0.012192038239220236,0.034246855560604667,0.06093639116490796,0.031124638728313236,0.014971567863363282
2004-09,0.07231278993923389,0.0734027954250915,0.07078230114728742,0.09313859207955824,0.05240052993498283,0.10075273873652306,-0.019824028329358895
2004-10,0.04629941854971421,0.060222227301430516,-0.001978079350947938,0.014984908174382933,-0.005728729865893415,-0.0176635837562488,-0.003395414644280021
2004-11,0.10397554066437018,0.11395469130798876,0.057126375530389455,0.10046588470987057,0.11008865608861206,0.13529631511240114,0.009800961011180026
2004-12,0.019540775616271325,0.16952333923669088,0.091729179999328,0.11213867787546339,0.1237846255871554,0.13035625417785604,0.0808142556660558
2005-01,0.004949613814189795,0.01908170887581646,-0.03055237088965079,-0.04174852661838632,-0.015068888881406542,-0.021552044084895316,0.02040586639930322
2005-02,0.042950962176179254,0.03216551999146454,0.03085582506357545,0.020866578627302294,0.04328115610645218,0.03241216072422054,0.005814567647217585
2005-03,-0.006068341506024122,-0.05759111720861901,-0.06296948900215782,-0.023905456494665366,-0.05456062161463968,-0.017552467203252542,-0.0410889704112846
2005-04,-0.07143338864334393,-0.06281252989945348,-0.04193400284114161,-0.014113945395730644,-0.0009710897489375693,-0.04666831685467673,0.010881857195341765
