holding_month,BL,BN,BW,SL,SN,SW,WML
2000-11,,0.07500658190662546,,,0.10050819806869325,,
2000-12,,-0.016976461808769883,,,-0.0018879543860215815,,
2001-01,0.07181949628886465,0.1050104147042235,0.09693996084295392,0.02990756087040252,0.017604071073699344,0.023872175605061902,0.009542539644374327
2001-02,-0.16113391561347165,-0.022365133929720917,-0.025882753824328128,-0.08373069838055884,-0.0040199691363995375,0.022712621445578726,0.12084724080764053
2001-03,-0.4011874671258095,-0.1865493906676772,-0.07225953496921123,-0.39692007383350963,-0.21064512798506513,-0.19913240061140922,0.26335780268934933
2001-04,0.02352773757904088,-0.027613961304435164,0.012852475082264732,-0.056159854938971916,-0.03384332004580568,-0.009756384608691528,0.017864103916752118
2001-05,0.14733819325764277,0.04376304840493658,0.04282591811238561,0.1564475622825637,0.0965445290065107,0.07065363717287475,-0.09515310012747306
2001-06,-0.17161634054082628,-0.06367149287596596,-0.046091734030446696,-0.22544879056372047,-0.11458523046675044,-0.07650455774470294,0.13723441966469857
2001-07,-0.0700797945414569,0.0058147563826672875,-0.03965950863788517,-0.23243130642661616,-0.05398948757155548,-0.032941158987860604,0.11495521667116364
2001-08,0.15381911869647896,-0.0002553704351252718,-0.02924681343671168,0.0011324081044843954,0.0033275228147033576,0.0011713410922793031,-0.09151349957269787
2001-09,-0.32625328201227993,-0.19283712195596775,-0.11575512424469567,-0.23534106058444146,-0.10043450529239008,-0.07197272108092295,0.18693324863555139
2001-10,0.1681341220721822,0.019775224090671634,0.0562887998737621,0.17841789595343055,0.07235162923897709,0.05255884657671961,-0.11885218578756553
2001-11,0.33677598574564754,0.0743893630720205,0.030638763409759368,0.2789096598963124,0.1037077301678768,0.10183147268676503,-0.24160770477271776
2001-12,0.03136325895446265,-0.01453678428850087,-0.006282947630330537,0.01719478165483045,-0.030799350168487685,-0.017223134945622737,-0.03603206159262319
