Unnamed: 0,index,Month,BG,BN,BV,SG,SN,SV,SMB,HML
62,62,2006-09,6.756,4.926,6.415,5.604,5.776,1.492,-1.742,-2.226
63,63,2006-10,5.688,2.917,6.37,10.714,6.247,6.74,2.909,-1.646
64,64,2006-11,5.488,0.929,-1.841,8.053,3.532,5.731,4.247,-4.826
65,65,2006-12,3.2,1.027,13.635,6.914,6.333,9.002,1.462,6.262
66,66,2007-01,4.208,7.377,16.509,15.335,12.759,21.53,7.177,9.248
67,67,2007-02,-8.285,-8.872,-12.004,-8.577,-11.031,-9.509,0.015,-2.326
68,68,2007-03,-3.495,-3.493,-4.462,-8.22,-7.246,-8.763,-4.26,-0.755
69,69,2007-04,7.002,8.061,8.957,8.35,7.555,7.745,-0.123,0.675
70,70,2007-05,5.323,4.121,-0.917,3.161,2.907,2.033,-0.142,-3.684
71,71,2007-06,3.824,1.04,3.17,6.208,5.498,4.64,2.77,-1.111
72,72,2007-07,3.633,2.738,2.849,4.814,3.29,3.252,0.712,-1.173
73,73,2007-08,-0.728,-1.851,4.657,3.967,4.939,6.436,4.421,3.927
74,74,2007-09,9.581,11.87,18.961,14.031,11.809,10.187,-1.461,2.768
75,75,2007-10,8.848,7.638,-0.235,1.497,3.672,-2.748,-4.61,-6.664
76,76,2007-11,3.843,12.046,17.008,13.942,10.471,14.902,2.139,7.063
77,77,2007-12,16.276,30.857,36.809,41.026,37.105,50.733,14.974,15.12
78,78,2008-01,-19.584,-24.948,-28.583,-25.713,-24.256,-27.094,-1.316,-5.19
79,79,2008-02,-1.51,-2.087,-2.683,-7.449,-5.078,-6.856,-4.368,-0.29
80,80,2008-03,-13.134,-14.458,-19.752,-16.391,-15.998,-14.442,0.171,-2.334
81,81,2008-04,10.19,13.231,17.315,13.886,16.154,14.385,1.229,3.812
82,82,2008-05,-5.192,-5.175,-6.574,-3.18,-3.53,-3.327,2.302,-0.765
83,83,2008-06,-18.151,-16.048,-17.668,-12.505,-15.084,-12.303,3.992,0.342
84,84,2008-07,4.195,4.508,9.319,7.283,5.166,5.616,0.014,1.728
85,85,2008-08,1.205,1.243,-0.117,1.238,2.239,2.608,1.252,0.024
86,86,2008-09,-16.37,-17.964,-19.193,-12.176,-14.395,-13.02,4.645,-1.833
87,87,2008-10,-32.551,-31.36,-30.813,-26.469,-25.584,-22.234,6.812,2.987
88,88,2008-11,-11.178,-12.222,-12.144,-6.496,-9.168,-6.92,4.32,-0.695
89,89,2008-12,14.488,12.698,14.281,9.21,10.315,7.168,-4.924,-1.125
90,90,2009-01,-9.429,-9.724,-10.577,-4.367,-6.568,-6.464,4.11,-1.622
91,91,2009-02,-5.508,-7.345,-7.439,-4.88,-4.152,-2.558,2.9,0.195
92,92,2009-03,6.8,6.508,4.82,-2.802,0.57,-0.263,-6.874,0.279
93,93,2009-04,17.49,24.154,29.307,20.385,19.534,21.283,-3.25,6.357
94,94,2009-05,40.102,52.14,62.817,29.343,35.668,44.427,-15.207,18.9
95,95,2009-06,-1.124,-3.467,-2.623,0.49,-1.777,-2.564,1.121,-2.276
96,96,2009-07,7.947,12.43,14.406,3.163,6.319,5.212,-6.696,4.254
97,97,2009-08,8.417,13.744,14.919,12.793,12.611,17.025,1.783,5.367
98,98,2009-09,7.254,8.467,11.563,8.022,9.679,10.72,0.379,3.503
99,99,2009-10,-5.128,-7.931,-7.431,-5.128,-5.056,-3.834,2.157,-0.504
100,100,2009-11,7.365,7.449,6.135,8.806,8.753,6.86,1.157,-1.588
101,101,2009-12,8.346,10.599,13.769,13.704,12.838,15.125,2.984,3.422
102,102,2010-01,-1.063,-1.189,-1.587,1.845,1.173,2.576,3.144,0.103
103,103,2010-02,-1.549,-1.908,-1.934,-2.626,-1.777,-2.744,-0.585,-0.252
104,104,2010-03,6.409,6.845,12.782,2.338,6.01,4.06,-4.543,4.048
105,105,2010-04,13.043,18.7,19.639,30.062,36.266,33.013,15.986,4.774
106,106,2010-05,-9.035,-14.262,-17.343,-8.172,-10.202,-5.541,5.575,-2.839
107,107,2010-06,13.947,12.145,13.81,14.993,17.118,18.59,3.6,1.73
108,108,2010-07,5.957,8.414,11.612,15.37,18.664,17.258,8.436,3.771
109,109,2010-08,4.353,6.257,9.879,6.956,12.034,9.552,2.684,4.061
110,110,2010-09,15.608,15.379,15.401,17.877,18.095,18.347,2.644,0.132
111,111,2010-10,1.896,10.807,14.601,11.464,8.126,9.053,0.447,5.148
112,112,2010-11,-11.507,-16.754,-18.575,-8.089,-10.574,-9.288,6.295,-4.134
113,113,2010-12,4.328,4.087,3.061,1.233,3.32,-1.204,-2.709,-1.852
114,114,2011-01,-11.277,-12.771,-12.542,-8.288,-9.079,-10.07,3.051,-1.524
115,115,2011-02,-6.633,-8.279,-10.304,-6.88,-7.467,-5.976,1.631,-1.384
116,116,2011-03,7.311,5.921,1.072,0.013,0.676,-1.925,-5.18,-4.089
117,117,2011-04,4.899,4.841,7.247,7.703,8.31,7.939,2.322,1.292
118,118,2011-05,-3.823,-4.783,-7.69,-3.504,-3.612,-5.169,1.337,-2.766
119,119,2011-06,-0.074,-2.746,-3.135,-0.643,-1.916,1.344,1.58,-0.537
120,120,2011-07,2.689,1.837,2.073,4.766,3.285,0.875,0.775,-2.253
121,121,2011-08,-9.204,-12.119,-14.373,-9.573,-9.579,-10.735,1.936,-3.166
122,122,2011-09,-0.975,-1.438,-0.764,0.331,0.946,1.622,2.026,0.751
123,123,2011-10,2.346,2.597,1.993,2.057,1.739,0.588,-0.851,-0.911
124,124,2011-11,-11.572,-14.253,-12.816,-9.419,-9.656,-9.715,3.284,-0.77
125,125,2011-12,-8.615,-10.121,-10.218,-7.488,-6.596,-7.097,2.591,-0.606
126,126,2012-01,14.567,21.456,27.194,13.373,13.836,17.025,-6.328,8.139
127,127,2012-02,5.789,6.331,7.948,3.57,2.51,2.986,-3.667,0.788
128,128,2012-03,-0.537,-4.123,-7.648,-5.549,-4.509,-5.577,-1.109,-3.569
129,129,2012-04,2.797,-0.034,-0.987,5.091,3.373,2.808,3.165,-3.033
130,130,2012-05,-4.52,-7.658,-10.52,-3.703,-3.008,-3.796,4.063,-3.047
131,131,2012-06,3.292,4.711,6.004,0.112,2.445,1.796,-3.218,2.198
132,132,2012-07,-1.307,-1.574,-0.909,0.739,0.374,1.28,2.061,0.469
133,133,2012-08,0.509,-3.31,-4.836,-1.163,-0.741,-2.549,1.061,-3.365
134,134,2012-09,7.884,10.738,15.718,5.497,7.323,5.751,-5.256,4.044
135,135,2012-10,-1.421,0.387,0.807,-0.314,2.046,1.067,1.009,1.805
136,136,2012-11,3.232,2.8,5.73,2.168,3.383,1.922,-1.43,1.126
137,137,2012-12,2.057,1.576,0.892,1.712,0.886,3.685,0.586,0.403
138,138,2013-01,-1.892,-3.973,-5.217,-0.783,-0.668,-1.932,2.566,-2.237
139,139,2013-02,-8.571,-12.473,-13.785,-9.839,-9.255,-10.342,1.798,-2.858
140,140,2013-03,-4.638,-7.374,-11.512,-9.327,-7.155,-9.241,-0.733,-3.394
141,141,2013-04,4.069,4.83,7.689,1.774,3.619,4.047,-2.382,2.947
142,142,2013-05,-0.529,-2.57,-4.627,-0.124,1.027,-0.623,2.669,-2.298
143,143,2013-06,-5.427,-8.055,-9.527,-2.642,-3.741,-4.061,4.188,-2.76
144,144,2013-07,-4.593,-8.729,-7.816,-0.874,-2.137,-3.789,4.779,-3.069
145,145,2013-08,-2.72,-0.413,-2.207,-2.644,-0.281,-1.134,0.427,1.012
146,146,2013-09,5.963,5.628,7.972,2.082,3.34,6.276,-2.622,3.102
147,147,2013-10,6.968,8.84,12.456,2.31,4.804,6.787,-4.788,4.983
148,148,2013-11,3.969,5.568,6.429,2.355,4.0,4.254,-1.785,2.179
149,149,2013-12,5.733,8.033,9.431,4.842,5.457,7.142,-1.919,2.999
