Month,BL,BW,SL,SW,WML
2011-01,-0.1050,-0.0978,-0.1516,-0.1064,0.0261
2011-02,-0.0575,-0.0356,-0.1059,-0.0530,0.0374
2011-03,0.0804,0.0809,0.0436,0.0864,0.0216
2011-04,0.0017,0.0011,0.0508,0.0651,0.0068
2011-05,-0.0503,-0.0268,-0.0779,-0.0272,0.0372
2011-06,-0.0393,0.0169,-0.0274,0.0172,0.0504
2011-07,-0.0248,-0.0120,-0.0045,0.0470,0.0322
2011-08,-0.1640,-0.0631,-0.1710,-0.0776,0.0971
2011-09,-0.0278,-0.0063,0.0052,-0.0031,0.0066
2011-10,0.0611,0.0466,0.0308,0.0168,-0.0142
2011-11,-0.1302,-0.0601,-0.1742,-0.0844,0.0799
2011-12,-0.1367,-0.0307,-0.1191,-0.0840,0.0706
2012-01,0.3804,0.0621,0.3124,0.0824,-0.2741
2012-02,0.0618,0.0443,0.1033,0.0643,-0.0283
2012-03,-0.1077,0.0075,-0.0624,0.0127,0.0952
2012-04,-0.0067,0.0216,0.0076,0.0304,0.0256
2012-05,-0.0794,-0.0465,-0.1410,-0.0420,0.0660
2012-06,0.0753,0.0503,0.0939,0.0277,-0.0456
2012-07,-0.0358,0.0113,-0.0272,0.0024,0.0383
2012-08,-0.0663,0.0251,-0.0508,0.0085,0.0753
2012-09,0.1386,0.0644,0.1437,0.0812,-0.0683
2012-10,-0.0435,0.0001,-0.0380,0.0069,0.0443
2012-11,0.0857,0.0423,0.0323,0.0376,-0.0190
2012-12,0.0225,0.0110,0.0071,0.0139,-0.0024
2013-01,0.0352,0.0126,-0.0388,-0.0273,-0.0056
2013-02,-0.0813,-0.0490,-0.1303,-0.1016,0.0305
2013-03,-0.1320,0.0024,-0.0896,-0.0632,0.0804
2013-04,0.0598,0.0366,0.0425,0.0375,-0.0142
2013-05,0.0033,0.0181,-0.0622,0.0151,0.0461
2013-06,-0.1622,-0.0274,-0.1012,-0.0386,0.0988
2013-07,-0.1299,-0.0129,-0.0848,-0.0405,0.0806
2013-08,0.1858,-0.0334,-0.0023,-0.0273,-0.1221
2013-09,0.0416,0.0419,0.0809,0.0425,-0.0191
2013-10,0.1580,0.0716,0.1158,0.0774,-0.0624
2013-11,0.0408,-0.0236,0.0551,0.0395,-0.0400
2013-12,0.0746,0.0295,0.0682,0.0702,-0.0216
2014-01,-0.1457,-0.0213,-0.0836,-0.0107,0.0987
2014-02,-0.0028,0.0299,-0.0045,0.0612,0.0492
2014-03,0.2377,0.0074,0.1364,0.0583,-0.1542
2014-04,0.0224,0.0175,0.0829,0.0421,-0.0228
2014-05,0.2761,0.0614,0.2755,0.1342,-0.1780
2014-06,0.0464,0.1077,0.1027,0.1373,0.0480
2014-07,0.0385,-0.0299,-0.0174,0.0146,-0.0183
2014-08,0.0269,-0.0150,0.0059,0.0371,-0.0054
2014-09,0.0324,0.0106,0.0159,0.0643,0.0133
2014-10,0.0137,0.0491,0.0277,0.0367,0.0222
2014-11,0.0193,0.0814,-0.0032,0.0506,0.0579
2014-12,-0.0400,-0.0011,-0.0173,-0.0085,0.0238
2015-01,0.0205,0.0947,0.0183,0.0465,0.0512
2015-02,0.0114,0.0171,0.0110,0.0038,-0.0008
2015-03,-0.0392,-0.0150,-0.0501,0.0127,0.0435
2015-04,-0.0167,-0.0374,-0.0018,-0.0126,-0.0157
2015-05,0.0323,0.0551,0.0130,0.0380,0.0239
2015-06,-0.0128,-0.0110,-0.0420,-0.0127,0.0155
2015-07,-0.0729,0.0426,0.0484,0.1029,0.0850
2015-08,-0.1016,-0.0408,-0.1256,-0.0776,0.0544
2015-09,-0.0147,0.0042,0.0057,0.0083,0.0107
2015-10,0.1006,0.0058,0.0715,0.0189,-0.0737
2015-11,-0.0102,-0.0328,0.0279,0.0514,0.0005
2015-12,-0.0287,0.0261,0.0118,0.0300,0.0365
2016-01,-0.0986,-0.0611,-0.1074,-0.1018,0.0215
2016-02,-0.0880,-0.0827,-0.1218,-0.1728,-0.0228
2016-03,0.1455,0.0816,0.1222,0.1403,-0.0230
2016-04,0.0138,-0.0152,0.0609,0.0659,-0.0120
2016-05,0.0262,0.0110,-0.0202,-0.0035,0.0008
2016-06,0.0390,0.0435,0.1032,0.0687,-0.0150
2016-07,0.0646,0.0237,0.0415,0.0462,-0.0181
2016-08,0.0325,0.0356,0.0011,0.0341,0.0180
2016-09,0.0091,-0.0048,0.0046,0.0126,-0.0030
2016-10,0.0179,0.0487,0.0593,0.1028,0.0371
2016-11,-0.0299,-0.0384,-0.0740,-0.1091,-0.0218
2016-12,-0.0094,-0.0341,-0.0202,-0.0214,-0.0130
2017-01,0.0424,0.1133,0.0683,0.0929,0.0478
2017-02,0.0687,0.0238,0.0499,0.0485,-0.0232
2017-03,0.0236,0.0376,0.0521,0.0519,0.0069
2017-04,-0.0182,0.0598,0.0522,0.0747,0.0503
2017-05,0.0203,-0.0153,-0.0718,-0.0011,0.0176
2017-06,-0.0059,-0.0025,0.0167,0.0118,-0.0008
2017-07,0.0418,0.0661,0.0444,0.0578,0.0188
2017-08,-0.0290,0.0461,-0.0520,0.0194,0.0732
2017-09,-0.0063,-0.0131,-0.0012,0.0217,0.0080
2017-10,0.0668,0.1021,0.0872,0.1244,0.0363
2017-11,-0.0189,-0.0093,0.0504,0.0419,0.0006
2017-12,0.0301,0.0464,0.0766,0.0573,-0.0015
2018-01,0.0227,-0.0409,-0.0294,-0.0324,-0.0333
2018-02,-0.0494,-0.0434,-0.0603,-0.0226,0.0218
2018-03,-0.0485,-0.0120,-0.0923,-0.0741,0.0274
2018-04,0.0434,0.0849,0.0411,0.1182,0.0593
2018-05,-0.0440,-0.0096,-0.0957,-0.0652,0.0325
2018-06,-0.0490,0.0002,-0.0802,-0.0794,0.0250
2018-07,0.0447,0.0706,0.0424,0.0346,0.0091
2018-08,0.0171,0.0367,0.0230,0.0434,0.0200
2018-09,-0.1252,-0.0727,-0.1848,-0.1443,0.0465
2018-10,-0.0708,-0.0478,0.0163,-0.0109,-0.0021
2018-11,-0.0510,0.0444,-0.0024,0.0139,0.0559
2018-12,0.0805,-0.0011,0.0557,0.0140,-0.0616
2019-01,-0.0446,0.0013,-0.1022,-0.0451,0.0515
2019-02,0.0221,-0.0097,-0.0134,-0.0196,-0.0189
2019-03,0.0976,0.0714,0.1123,0.0853,-0.0266
2019-04,-0.0751,0.0219,-0.0609,-0.0134,0.0722
2019-05,-0.1534,0.0136,-0.0236,0.0246,0.1076
2019-06,-0.1408,-0.0068,-0.1420,-0.0327,0.1216
2019-07,-0.1453,-0.0580,-0.1534,-0.0979,0.0714
2019-08,-0.1272,-0.0029,-0.0478,0.0062,0.0892
2019-09,-0.0969,0.0490,0.0580,0.0530,0.0704
2019-10,0.1167,0.0426,0.0048,0.0235,-0.0277
2019-11,0.1263,0.0008,0.0427,0.0008,-0.0837
2019-12,-0.0481,0.0070,-0.0419,0.0143,0.0556
2020-01,-0.0231,0.0017,0.0477,0.0774,0.0273
2020-02,-0.0767,-0.0445,-0.1679,-0.0460,0.0771
2020-03,-0.2399,-0.1966,-0.3476,-0.2812,0.0549
2020-04,0.1346,0.1301,0.2613,0.1341,-0.0659
2020-05,-0.0495,-0.0228,-0.0659,0.0056,0.0491
2020-06,0.1897,0.0722,0.2786,0.1128,-0.1416
2020-07,0.0046,0.0886,-0.0017,0.0849,0.0853
2020-08,0.0751,0.0097,0.1800,0.0967,-0.0743
2020-09,-0.1040,0.0432,-0.0311,0.0438,0.1111
2020-10,0.0157,-0.0102,-0.0050,-0.0034,-0.0122
2020-11,0.2124,0.0260,0.1750,0.0992,-0.1310
2020-12,0.0925,0.0750,0.0852,0.0669,-0.0179
2021-01,0.0040,-0.0319,-0.0070,-0.0003,-0.0146
2021-02,0.1656,0.0430,0.1292,0.1220,-0.0648
2021-03,-0.0051,0.0655,-0.0247,0.0173,0.0563
2021-04,-0.0171,0.0794,0.0140,0.0803,0.0814
2021-05,0.0517,0.0785,0.1065,0.1059,0.0131
2021-06,0.0145,-0.0001,0.0736,0.0608,-0.0137
2021-07,-0.0134,0.0209,0.0273,0.1070,0.0571
2021-08,0.0886,0.0953,-0.0388,-0.0307,0.0074
2021-09,0.0459,0.0156,0.0723,0.0596,-0.0216
2021-10,-0.0217,0.0161,-0.0075,0.0008,0.0231
2021-11,-0.0241,-0.0187,-0.0447,-0.0019,0.0241
2021-12,0.0069,0.0427,0.0215,0.0832,0.0487
2022-01,-0.0046,-0.0110,0.0043,0.0265,0.0079
2022-02,-0.0443,-0.0198,-0.1030,-0.0902,0.0187
2022-03,0.0345,0.1447,0.0107,0.0852,0.0924
2022-04,0.0152,0.0226,0.0561,0.0204,-0.0141
2022-05,-0.0243,-0.1372,-0.0695,-0.1056,-0.0745
2022-06,-0.0575,-0.0277,-0.0544,-0.0733,0.0055
2022-07,0.0854,0.1175,0.0835,0.0684,0.0085
2022-08,0.0323,0.1009,0.0670,0.0694,0.0355
2022-09,-0.0354,-0.0370,-0.0213,-0.0031,0.0083
2022-10,0.0349,0.0198,0.0038,0.0280,0.0045
2022-11,0.0513,0.0016,0.0395,0.0183,-0.0354
2022-12,-0.0381,-0.0284,-0.0112,-0.0195,0.0008
2023-01,-0.0228,-0.1134,-0.0286,-0.0125,-0.0373
2023-02,0.0001,-0.1164,-0.0554,-0.0439,-0.0525
2023-03,0.0012,0.0276,-0.0525,0.0244,0.0516
2023-04,0.0277,0.0586,0.1048,0.0925,0.0093
2023-05,-0.0046,0.0301,0.0380,0.0617,0.0293
2023-06,0.0195,0.0640,0.0790,0.0801,0.0228
2023-07,0.0676,0.0518,0.0431,0.1047,0.0229
2023-08,0.0154,0.0162,0.0535,0.0898,0.0185
2023-09,0.0203,0.0710,0.0210,0.0181,0.0239
2023-10,-0.0305,-0.0456,-0.0393,0.0097,0.0169
2023-11,0.0532,0.0945,0.0531,0.0906,0.0394
2023-12,0.0974,0.0964,0.0615,0.0622,-0.0001
2024-01,0.0028,0.0987,0.0278,0.1168,0.0924
2024-02,0.0026,0.0340,-0.0275,-0.0066,0.0262
2024-03,0.0023,0.0061,-0.0632,-0.0616,0.0027
