Month,BA,BC,BN,SA,SC,SN,CMA
2009-03,0.0957,0.0659,0.0809,0.0556,0.0596,0.0399,-0.0129
2009-04,0.2064,0.1151,0.1459,0.2143,0.1796,0.1963,-0.0630
2009-05,0.3378,0.3800,0.3431,0.5083,0.3942,0.4223,-0.0360
2009-06,-0.0157,0.0626,-0.0364,-0.0247,-0.0185,-0.0420,0.0422
2009-07,0.1134,0.0519,0.0699,0.0726,0.0945,0.0900,-0.0198
2009-08,0.0372,0.0055,0.0133,0.1208,0.1112,0.0909,-0.0206
2009-09,0.0759,0.1217,0.0786,0.0678,0.0961,0.0878,0.0370
2009-10,-0.1058,-0.0239,-0.0538,-0.0748,-0.0674,-0.0534,0.0446
2009-11,0.1056,0.0536,0.0660,0.0510,0.0726,0.0737,-0.0152
2009-12,0.0345,0.0384,0.0434,0.0845,0.0837,0.0849,0.0015
2010-01,-0.0367,-0.0295,-0.0345,-0.0073,-0.0222,-0.0199,-0.0038
2010-02,-0.0110,-0.0276,0.0005,-0.0366,-0.0269,-0.0112,-0.0035
2010-03,0.0184,0.0269,0.0594,0.0514,0.0516,0.0657,0.0044
2010-04,0.0038,0.0070,0.0124,0.0472,0.0792,0.0703,0.0176
2010-05,-0.0748,0.0121,-0.0235,-0.0850,-0.0734,-0.0505,0.0493
2010-06,0.0383,0.0625,0.0465,0.0652,0.0745,0.0592,0.0167
2010-07,0.0556,-0.0072,0.0106,0.0194,0.0468,0.0297,-0.0176
2010-08,-0.0298,0.0135,0.0199,0.0013,0.0196,0.0210,0.0308
2010-09,0.1029,0.0750,0.0926,0.0684,0.0754,0.0646,-0.0104
2010-10,0.0117,0.0163,-0.0148,0.0150,0.0414,0.0158,0.0155
2010-11,-0.0500,-0.0558,-0.0442,-0.0970,-0.0862,-0.0803,0.0025
2010-12,0.0322,-0.0051,0.0347,-0.0020,0.0107,0.0187,-0.0123
2011-01,-0.0949,-0.1298,-0.0899,-0.1319,-0.1255,-0.1200,-0.0142
2011-02,-0.0339,-0.0209,-0.0465,-0.0909,-0.0743,-0.0724,0.0148
2011-03,0.0808,0.1021,0.0835,0.0416,0.0910,0.0579,0.0354
2011-04,-0.0208,-0.0028,0.0258,0.0555,0.0500,0.0482,0.0062
2011-05,-0.0265,-0.0113,-0.0286,-0.0601,-0.0466,-0.0452,0.0143
2011-06,0.0075,0.0287,0.0012,-0.0168,-0.0158,-0.0182,0.0111
2011-07,-0.0317,-0.0656,-0.0045,0.0124,0.0156,0.0270,-0.0154
2011-08,-0.0955,-0.1139,-0.0555,-0.1301,-0.1198,-0.1041,-0.0040
2011-09,-0.0088,-0.0112,-0.0097,-0.0141,-0.0096,-0.0178,0.0010
2011-10,0.0580,0.0614,0.0491,0.0152,0.0206,0.0149,0.0044
2011-11,-0.1114,-0.1178,-0.0723,-0.1569,-0.1248,-0.1262,0.0129
2011-12,-0.0800,-0.0760,-0.0408,-0.1039,-0.1291,-0.0974,-0.0106
2012-01,0.1740,0.2155,0.1091,0.1489,0.1596,0.1486,0.0261
2012-02,0.0592,0.0422,0.0463,0.0666,0.0498,0.0754,-0.0168
2012-03,-0.0222,-0.0445,-0.0154,-0.0378,-0.0320,-0.0211,-0.0082
2012-04,0.0064,-0.0084,-0.0140,-0.0153,0.0090,0.0009,0.0047
2012-05,-0.0788,-0.0676,-0.0519,-0.0925,-0.0749,-0.0727,0.0144
2012-06,0.0771,0.0436,0.0649,0.0499,0.0448,0.0305,-0.0193
2012-07,-0.0168,0.0185,-0.0112,-0.0194,-0.0182,-0.0194,0.0183
2012-08,-0.0085,-0.0045,0.0026,-0.0271,-0.0079,-0.0088,0.0116
2012-09,0.1151,0.0987,0.0652,0.1020,0.0777,0.0886,-0.0203
2012-10,-0.0136,-0.0170,-0.0121,-0.0191,-0.0146,-0.0068,0.0005
2012-11,0.0683,0.0455,0.0316,0.0344,0.0349,0.0297,-0.0112
2012-12,0.0269,0.0227,0.0130,0.0111,0.0228,0.0208,0.0037
2013-01,0.0014,0.0330,0.0259,-0.0289,-0.0221,-0.0337,0.0192
2013-02,-0.0849,-0.0712,-0.0581,-0.1163,-0.1215,-0.1087,0.0043
2013-03,-0.0412,-0.0127,-0.0067,-0.0713,-0.0708,-0.0556,0.0145
2013-04,0.0498,0.0647,0.0354,0.0268,0.0449,0.0324,0.0165
2013-05,-0.0052,-0.0241,0.0105,-0.0049,-0.0187,-0.0233,-0.0163
2013-06,-0.0698,-0.0071,-0.0315,-0.0897,-0.0603,-0.0651,0.0461
2013-07,-0.0303,0.0067,-0.0194,-0.0776,-0.0718,-0.0871,0.0213
2013-08,-0.0571,-0.0228,-0.0279,-0.0238,-0.0492,-0.0517,0.0045
2013-09,0.0791,0.0604,0.0465,0.0403,0.0543,0.0397,-0.0023
2013-10,0.0998,0.0818,0.0705,0.0877,0.0793,0.0738,-0.0132
2013-11,-0.0182,-0.0078,-0.0099,0.0307,0.0569,0.0306,0.0183
2013-12,0.0374,0.0374,0.0276,0.0462,0.0578,0.0722,0.0058
2014-01,-0.0245,-0.0671,-0.0381,-0.0458,-0.0638,-0.0557,-0.0303
2014-02,0.0345,0.0214,0.0171,0.0284,0.0259,0.0239,-0.0079
2014-03,0.0250,0.0979,0.0984,0.0775,0.0992,0.1165,0.0473
2014-04,0.0110,0.0025,0.0031,0.0399,0.0479,0.0457,-0.0003
2014-05,0.0681,0.1202,0.1284,0.1720,0.1876,0.1785,0.0338
2014-06,0.0849,0.0351,0.0604,0.1123,0.1096,0.1361,-0.0262
2014-07,0.0224,-0.0161,-0.0019,-0.0002,-0.0173,-0.0276,-0.0278
2014-08,0.0260,0.0184,0.0331,0.0155,0.0206,0.0051,-0.0013
2014-09,0.0347,-0.0055,0.0016,0.0462,0.0253,0.0180,-0.0306
2014-10,0.0305,0.0261,0.0391,0.0256,0.0300,0.0296,0.0000
2014-11,0.0338,0.0138,0.0200,0.0158,0.0261,0.0362,-0.0049
2014-12,0.0023,-0.0254,-0.0297,-0.0047,-0.0175,0.0009,-0.0203
2015-01,0.0621,0.1338,0.0395,0.0250,0.0405,0.0191,0.0436
2015-02,0.0283,0.0264,0.0015,0.0021,0.0061,-0.0084,0.0011
2015-03,-0.0322,0.0260,-0.0295,-0.0291,-0.0360,-0.0256,0.0256
2015-04,-0.0290,-0.0512,-0.0219,-0.0109,-0.0156,-0.0141,-0.0135
2015-05,0.0417,0.0198,0.0336,0.0289,0.0084,0.0177,-0.0212
2015-06,-0.0138,-0.0543,0.0077,-0.0265,-0.0274,-0.0307,-0.0207
2015-07,0.0371,-0.0039,0.0179,0.0636,0.1065,0.0756,0.0010
2015-08,-0.0298,-0.0339,-0.0823,-0.0948,-0.0838,-0.0832,0.0034
2015-09,0.0082,-0.0361,-0.0120,-0.0060,0.0042,0.0111,-0.0171
2015-10,0.0099,0.0465,0.0151,0.0137,0.0452,0.0418,0.0340
2015-11,-0.0319,0.0202,0.0007,0.0255,0.0487,0.0329,0.0376
2015-12,0.0115,-0.0193,0.0096,0.0200,0.0374,0.0167,-0.0067
2016-01,-0.0385,-0.0650,-0.0726,-0.0958,-0.0964,-0.1019,-0.0135
2016-02,-0.0727,-0.0606,-0.0759,-0.1398,-0.1468,-0.1356,0.0025
2016-03,0.0966,0.1148,0.1194,0.1138,0.1155,0.1310,0.0100
2016-04,0.0090,0.0013,0.0352,0.0449,0.0578,0.0569,0.0026
2016-05,0.0214,0.0504,0.0241,-0.0178,-0.0030,0.0047,0.0219
2016-06,0.0227,0.0404,0.0502,0.0610,0.0845,0.0731,0.0206
2016-07,0.0546,0.0403,0.0576,0.0273,0.0599,0.0443,0.0091
2016-08,0.0234,0.0291,0.0185,0.0043,0.0269,0.0241,0.0141
2016-09,-0.0099,-0.0269,-0.0063,-0.0057,-0.0161,0.0090,-0.0137
2016-10,0.0033,0.0599,0.0231,0.0582,0.0869,0.0747,0.0427
2016-11,-0.0402,-0.0381,-0.0556,-0.0877,-0.0899,-0.0938,-0.0000
2016-12,-0.0225,-0.0174,0.0006,-0.0246,-0.0177,-0.0197,0.0060
2017-01,0.0551,0.0909,0.0486,0.0611,0.0854,0.0718,0.0300
2017-02,0.0402,0.0690,0.0433,0.0384,0.0522,0.0497,0.0214
2017-03,0.0419,0.0141,0.0298,0.0473,0.0432,0.0561,-0.0160
2017-04,0.0034,0.0397,0.0340,0.0471,0.0641,0.0694,0.0267
2017-05,0.0078,-0.0129,0.0222,-0.0454,-0.0369,-0.0316,-0.0061
2017-06,0.0133,-0.0389,-0.0138,0.0212,0.0005,0.0112,-0.0364
2017-07,0.0477,0.0417,0.0668,0.0379,0.0497,0.0423,0.0029
2017-08,-0.0153,0.0740,-0.0020,-0.0233,-0.0040,-0.0158,0.0543
2017-09,-0.0101,-0.0217,-0.0102,0.0054,0.0112,-0.0043,-0.0029
2017-10,0.0738,0.0808,0.0753,0.0726,0.1146,0.0950,0.0245
2017-11,-0.0060,0.0004,-0.0092,0.0537,0.0471,0.0164,-0.0001
2017-12,0.0278,0.0572,0.0402,0.0447,0.0529,0.0609,0.0188
2018-01,0.0346,-0.0025,0.0017,-0.0298,-0.0369,-0.0405,-0.0221
2018-02,-0.0369,-0.0364,-0.0440,-0.0345,-0.0451,-0.0333,-0.0050
2018-03,-0.0302,-0.0394,-0.0408,-0.0706,-0.0978,-0.0691,-0.0182
2018-04,0.0830,0.0476,0.0558,0.0551,0.0775,0.0609,-0.0065
2018-05,-0.0080,-0.0351,-0.0089,-0.0782,-0.0795,-0.0816,-0.0142
2018-06,0.0028,-0.0159,-0.0409,-0.0779,-0.0924,-0.0760,-0.0166
2018-07,0.0589,0.0484,0.0659,0.0162,0.0269,0.0286,0.0001
2018-08,0.0385,0.0416,0.0603,0.0315,0.0266,0.0302,-0.0009
2018-09,-0.0677,-0.1176,-0.0817,-0.1675,-0.1621,-0.1578,-0.0222
2018-10,-0.0479,-0.0222,-0.0491,-0.0398,-0.0039,-0.0132,0.0308
2018-11,0.0689,-0.0264,0.0418,-0.0015,0.0001,0.0057,-0.0468
2018-12,0.0260,0.0058,0.0040,0.0182,0.0250,0.0214,-0.0067
2019-01,-0.0656,-0.0478,0.0084,-0.0830,-0.0688,-0.0585,0.0160
2019-02,0.0200,0.0075,-0.0081,-0.0100,-0.0621,-0.0267,-0.0323
2019-03,0.0799,0.0848,0.0709,0.0931,0.0934,0.0880,0.0026
2019-04,-0.0221,-0.0234,0.0249,-0.0226,-0.0528,-0.0279,-0.0158
2019-05,0.0138,-0.0109,0.0144,0.0096,-0.0059,-0.0062,-0.0201
2019-06,-0.0324,-0.0027,-0.0048,-0.0602,-0.0627,-0.0618,0.0136
2019-07,-0.0692,-0.0933,-0.0524,-0.1185,-0.1226,-0.1342,-0.0140
2019-08,0.0153,-0.0373,-0.0059,-0.0172,-0.0261,-0.0275,-0.0308
2019-09,0.0832,0.0166,0.0378,0.0456,0.0225,0.0337,-0.0448
2019-10,0.0336,0.0383,0.0591,0.0112,0.0145,0.0129,0.0040
2019-11,0.0428,-0.0312,0.0013,0.0013,0.0005,-0.0128,-0.0374
2019-12,-0.0013,0.0298,-0.0026,-0.0202,-0.0095,-0.0027,0.0209
2020-01,0.0012,-0.0079,-0.0064,0.0495,0.0434,0.0641,-0.0076
2020-02,-0.0500,-0.0565,-0.0575,-0.0903,-0.1024,-0.0890,-0.0093
2020-03,-0.2947,-0.1466,-0.1900,-0.3595,-0.3141,-0.3190,0.0968
2020-04,0.1313,0.1233,0.1451,0.1319,0.1350,0.1508,-0.0025
2020-05,-0.0513,0.0036,-0.0065,-0.0464,-0.0329,-0.0226,0.0343
2020-06,0.1173,0.0783,0.0725,0.1705,0.1841,0.1445,-0.0127
2020-07,0.0207,0.1092,0.0683,0.0390,0.0402,0.0418,0.0448
2020-08,0.0530,0.0058,0.0316,0.1350,0.0998,0.1072,-0.0411
2020-09,-0.0109,0.0557,-0.0082,-0.0013,-0.0063,0.0041,0.0309
2020-10,0.0214,0.0336,0.0250,-0.0100,-0.0122,-0.0125,0.0050
2020-11,0.0995,0.1513,0.1009,0.1198,0.1193,0.1129,0.0256
2020-12,0.0700,0.0293,0.0922,0.0645,0.0817,0.0814,-0.0118
2021-01,-0.0447,0.0042,0.0094,0.0120,-0.0223,-0.0044,0.0073
2021-02,0.0907,0.1560,0.0552,0.1247,0.0966,0.1038,0.0186
2021-03,0.0014,0.0585,0.0284,-0.0074,-0.0040,-0.0024,0.0303
2021-04,-0.0004,0.0365,0.0048,0.0445,0.0403,0.0369,0.0163
2021-05,0.0693,0.0838,0.0738,0.0836,0.1278,0.0989,0.0293
2021-06,0.0057,0.0137,0.0296,0.0630,0.0760,0.0674,0.0105
2021-07,-0.0018,-0.0162,0.0226,0.0608,0.0813,0.0485,0.0031
2021-08,0.0818,0.0714,0.0836,-0.0370,-0.0412,-0.0403,-0.0073
2021-09,0.0470,0.0536,0.0288,0.0583,0.0581,0.0413,0.0032
2021-10,0.0060,0.0130,-0.0131,-0.0041,0.0006,-0.0009,0.0058
2021-11,-0.0331,-0.0016,-0.0131,-0.0262,-0.0243,-0.0232,0.0167
2021-12,0.0092,0.0341,0.0441,0.0329,0.0646,0.0416,0.0283
2022-01,-0.0004,0.0093,-0.0094,-0.0031,0.0118,0.0215,0.0123
2022-02,-0.0271,-0.0256,-0.0399,-0.0872,-0.1043,-0.0921,-0.0078
2022-03,0.0449,0.0705,0.0372,0.0421,0.0395,0.0384,0.0115
2022-04,0.0078,0.0718,-0.0089,0.0311,0.0463,0.0367,0.0396
2022-05,-0.0520,-0.0450,-0.0494,-0.0876,-0.0935,-0.0834,0.0005
2022-06,-0.0519,-0.0571,-0.0412,-0.0538,-0.0660,-0.0572,-0.0087
2022-07,0.1002,0.1265,0.0975,0.0792,0.0742,0.0840,0.0106
2022-08,0.0604,0.1284,0.0303,0.0611,0.0752,0.0565,0.0411
2022-09,-0.0355,-0.0091,-0.0355,-0.0113,-0.0175,-0.0026,0.0102
2022-10,0.0096,0.0460,0.0457,0.0133,0.0181,0.0197,0.0206
2022-11,0.0290,0.0463,0.0329,0.0153,0.0257,0.0322,0.0139
2022-12,-0.0352,-0.0470,-0.0178,-0.0223,-0.0176,-0.0108,-0.0036
2023-01,-0.0654,-0.0732,-0.0253,-0.0208,-0.0212,-0.0226,-0.0041
2023-02,-0.0685,-0.0782,-0.0154,-0.0483,-0.0595,-0.0431,-0.0105
2023-03,0.0077,0.0289,0.0029,-0.0282,-0.0163,-0.0135,0.0166
2023-04,0.0362,0.0639,0.0491,0.0806,0.0909,0.0789,0.0190
2023-05,0.0562,0.0530,0.0265,0.0367,0.0603,0.0534,0.0102
2023-06,0.0470,0.0275,0.0417,0.0710,0.0661,0.0769,-0.0122
2023-07,0.0348,0.0605,0.0397,0.0468,0.0876,0.0840,0.0333
2023-08,0.0128,-0.0299,-0.0089,0.0549,0.0764,0.0646,-0.0106
2023-09,0.0286,0.0103,0.0425,0.0100,0.0261,0.0204,-0.0011
2023-10,-0.0282,-0.0046,-0.0346,-0.0108,-0.0164,-0.0113,0.0090
2023-11,0.0758,0.0959,0.0625,0.0656,0.0944,0.0774,0.0244
2023-12,0.1021,0.0853,0.0880,0.0537,0.0619,0.0494,-0.0043
2024-01,0.0191,0.0734,0.0281,0.0544,0.1170,0.0605,0.0584
2024-02,0.0178,0.0254,0.0279,-0.0088,-0.0269,-0.0179,-0.0052
2024-03,0.0031,0.0126,0.0105,-0.0622,-0.0830,-0.0554,-0.0056
2024-04,0.0321,0.0385,0.0419,0.1035,0.1035,0.0984,0.0032
2024-05,0.0300,0.0334,0.0128,-0.0327,-0.0361,-0.0189,0.0000
2024-06,0.0585,0.0566,0.0640,0.1035,0.1064,0.1021,0.0005
2024-07,0.0390,0.0736,0.0388,0.0524,0.0817,0.0702,0.0319
2024-08,0.0132,0.0070,-0.0010,0.0331,0.0035,0.0034,-0.0179
2024-09,0.0328,0.0291,0.0103,0.0267,0.0131,-0.0039,-0.0087
2024-10,-0.0708,-0.0569,-0.0721,-0.0387,-0.0481,-0.0410,0.0022
2024-11,0.0006,0.0067,-0.0075,-0.0032,0.0173,-0.0006,0.0133
2024-12,-0.0021,-0.0062,-0.0253,-0.0117,-0.0069,-0.0109,0.0003
2025-01,-0.0343,-0.0431,-0.0235,-0.0981,-0.0984,-0.0959,-0.0046
2025-02,-0.0471,-0.1055,-0.0928,-0.1587,-0.1643,-0.1602,-0.0319
2025-03,0.0784,0.0768,0.0810,0.0543,0.0568,0.0631,0.0005
2025-04,0.0393,0.0103,0.0260,0.0163,0.0110,0.0157,-0.0172
2025-05,0.0404,0.0432,0.0346,0.0865,0.1169,0.1034,0.0166
2025-06,0.0536,0.0253,0.0319,0.0306,0.0342,0.0356,-0.0124
2025-07,-0.0254,-0.0542,-0.0265,-0.0276,-0.0234,-0.0107,-0.0123
2025-08,-0.0226,-0.0168,-0.0100,-0.0375,-0.0531,-0.0367,-0.0049
2025-09,0.0155,0.0055,0.0246,0.0126,0.0090,0.0013,-0.0068
2025-10,0.0500,0.0574,0.0270,0.0242,0.0278,0.0205,0.0055
2025-11,0.0035,0.0132,0.0038,-0.0502,-0.0658,-0.0355,-0.0030
2025-12,-0.0141,0.0109,-0.0033,-0.0194,-0.0168,-0.0183,0.0138
2026-01,-0.0702,-0.0370,-0.0128,-0.0850,-0.0747,-0.0697,0.0218
2026-02,0.0129,-0.0110,0.0206,-0.0073,-0.0049,-0.0049,-0.0108
2026-03,-0.1466,-0.0719,-0.1245,-0.1350,-0.1366,-0.1203,0.0366
2026-04,0.1347,0.0897,0.1110,0.2115,0.2130,0.1872,-0.0218
