Unnamed: 0,index,Month,BN,BR,BW,SN,SR,SW,RMW
70,70,2007-05,4.837,5.771,1.051,1.51,3.431,3.38,2.385
71,71,2007-06,3.216,2.75,2.104,5.453,6.201,4.568,1.139
72,72,2007-07,2.87,3.55,3.841,4.017,2.15,4.503,-1.322
73,73,2007-08,-1.866,-0.462,0.849,4.511,3.076,7.94,-3.088
74,74,2007-09,9.826,9.729,16.293,10.712,13.631,11.464,-2.199
75,75,2007-10,7.111,10.671,5.03,-0.143,2.528,0.533,3.818
76,76,2007-11,5.773,5.224,14.099,12.741,11.521,14.302,-5.828
77,77,2007-12,20.976,17.806,32.778,40.908,35.016,51.956,-15.956
78,78,2008-01,-21.957,-21.065,-22.323,-25.545,-24.341,-26.807,1.862
79,79,2008-02,-1.708,-1.623,-2.155,-5.385,-5.5,-8.027,1.53
80,80,2008-03,-12.995,-13.436,-16.634,-16.124,-14.631,-15.575,2.071
81,81,2008-04,12.538,8.282,15.445,16.581,14.248,13.699,-3.307
82,82,2008-05,-3.936,-6.435,-5.844,-2.4,-5.138,-2.95,-1.39
83,83,2008-06,-15.942,-17.813,-19.912,-13.01,-15.551,-12.07,-0.691
84,84,2008-07,4.953,3.302,6.095,7.628,5.808,3.665,-0.325
85,85,2008-08,1.881,1.903,-1.983,1.796,1.992,2.673,1.602
86,86,2008-09,-16.432,-17.397,-17.142,-14.454,-14.171,-11.289,-1.569
87,87,2008-10,-32.699,-31.648,-31.822,-24.707,-25.533,-23.653,-0.853
88,88,2008-11,-12.363,-11.966,-8.678,-7.745,-7.881,-7.616,-1.776
89,89,2008-12,15.228,11.757,15.265,9.154,8.834,8.737,-1.706
90,90,2009-01,-10.097,-8.746,-10.01,-6.089,-6.54,-5.432,0.078
91,91,2009-02,-5.475,-6.329,-7.359,-3.751,-4.288,-3.348,0.045
92,92,2009-03,7.156,6.747,4.891,1.568,-0.524,-3.025,2.179
93,93,2009-04,18.602,22.249,21.329,19.495,23.032,19.164,2.394
94,94,2009-05,47.17,44.7,46.311,36.523,39.221,35.941,0.834
95,95,2009-06,-3.647,0.067,-2.158,-2.029,-2.337,-0.143,0.016
96,96,2009-07,9.596,12.137,5.539,4.646,8.319,3.109,5.904
97,97,2009-08,11.358,11.219,7.557,16.157,13.537,12.304,2.448
98,98,2009-09,9.116,6.764,7.677,8.919,10.319,9.901,-0.247
99,99,2009-10,-6.028,-3.811,-9.875,-4.66,-2.487,-6.496,5.036
100,100,2009-11,7.509,7.681,6.448,7.13,8.675,8.727,0.591
101,101,2009-12,10.104,9.993,6.373,12.993,13.563,15.124,1.03
102,102,2010-01,-1.324,-1.033,-0.846,1.715,1.858,1.954,-0.142
103,103,2010-02,-2.153,0.048,-3.538,-0.965,-2.588,-3.732,2.365
104,104,2010-03,6.608,7.935,4.952,4.52,6.762,2.371,3.686
105,105,2010-04,13.995,15.815,15.753,35.315,37.428,28.037,4.726
106,106,2010-05,-12.102,-8.733,-12.739,-8.262,-10.082,-5.899,-0.088
107,107,2010-06,13.155,13.805,13.129,15.351,17.475,19.123,-0.486
108,108,2010-07,5.51,8.985,6.723,16.326,18.362,17.812,1.406
109,109,2010-08,7.298,3.124,4.489,11.609,8.967,8.747,-0.573
110,110,2010-09,16.045,16.072,13.384,17.067,19.936,17.862,2.381
111,111,2010-10,8.602,0.297,7.194,7.461,10.42,10.423,-3.45
112,112,2010-11,-12.699,-11.427,-18.977,-10.159,-10.332,-8.004,2.611
113,113,2010-12,4.662,3.511,4.173,2.611,2.026,-1.163,1.264
114,114,2011-01,-12.259,-10.866,-12.647,-9.685,-8.348,-9.463,1.448
115,115,2011-02,-8.082,-5.874,-8.619,-6.86,-7.463,-6.144,0.713
116,116,2011-03,5.867,7.239,6.359,0.302,1.131,-2.57,2.29
117,117,2011-04,5.155,5.674,3.728,8.271,8.788,7.024,1.855
118,118,2011-05,-5.283,-3.705,-3.713,-4.596,-2.817,-4.792,0.992
119,119,2011-06,-1.177,-0.063,-2.998,-0.693,-0.806,0.155,0.987
120,120,2011-07,1.603,3.848,1.486,3.154,3.061,2.083,1.67
121,121,2011-08,-10.907,-9.127,-12.053,-10.518,-9.628,-9.607,1.453
122,122,2011-09,-1.117,-0.486,-2.093,1.563,1.094,0.31,1.195
123,123,2011-10,2.434,1.522,3.551,2.221,2.014,-0.093,0.04
124,124,2011-11,-11.908,-11.237,-15.537,-9.171,-8.803,-10.877,3.187
125,125,2011-12,-8.73,-9.152,-10.193,-6.219,-7.5,-7.456,0.499
126,126,2012-01,17.012,14.081,24.217,14.624,13.799,16.017,-6.178
127,127,2012-02,5.507,6.781,6.482,3.051,3.288,2.5,0.544
128,128,2012-03,-3.083,0.236,-4.22,-4.612,-4.28,-6.583,3.38
129,129,2012-04,1.393,3.061,-0.13,2.772,3.492,4.815,0.934
130,130,2012-05,-5.108,-5.628,-8.443,-3.982,-3.435,-2.805,1.092
131,131,2012-06,3.61,4.196,4.527,1.59,2.442,0.885,0.613
132,132,2012-07,-1.581,-0.764,-1.828,1.183,-0.253,1.253,-0.221
133,133,2012-08,-1.864,1.176,-3.527,-1.32,-0.159,-2.887,3.715
134,134,2012-09,8.931,6.981,13.897,6.669,7.791,4.506,-1.815
135,135,2012-10,-0.299,-0.027,-2.47,1.913,1.648,-0.403,2.247
136,136,2012-11,2.841,2.871,4.887,3.071,1.46,2.943,-1.749
137,137,2012-12,1.624,2.013,1.937,2.139,0.024,3.81,-1.854
138,138,2013-01,-3.079,-2.519,-2.518,-1.515,-0.236,-1.506,0.635
139,139,2013-02,-10.786,-8.207,-12.161,-10.1,-9.692,-9.486,1.874
140,140,2013-03,-5.869,-4.378,-9.019,-8.152,-7.25,-9.794,3.593
141,141,2013-04,3.882,4.31,6.563,2.75,4.166,3.196,-0.641
142,142,2013-05,-1.444,0.818,-5.256,-0.022,0.302,0.271,3.053
143,143,2013-06,-6.271,-5.654,-8.443,-4.827,-2.29,-3.279,1.889
144,144,2013-07,-6.331,-4.078,-9.089,-2.128,-1.935,-3.159,3.117
145,145,2013-08,-0.366,-3.349,-3.513,-0.137,-1.139,-2.425,0.725
146,146,2013-09,5.583,5.808,7.621,3.433,3.836,4.969,-1.473
147,147,2013-10,7.444,7.804,8.992,5.157,4.771,4.635,-0.526
148,148,2013-11,4.65,6.336,2.109,4.297,4.09,2.586,2.865
149,149,2013-12,7.142,7.391,4.693,5.878,6.853,5.055,2.248
150,150,2014-01,-3.909,-3.379,-8.233,0.512,-1.189,-1.091,2.378
151,151,2014-02,2.335,4.765,1.612,0.679,1.073,-1.003,2.615
152,152,2014-03,8.495,11.536,6.686,4.448,5.748,2.47,4.064
153,153,2014-04,6.304,4.757,6.844,9.811,9.473,10.361,-1.488
154,154,2014-05,18.348,16.426,24.57,16.671,15.155,17.458,-5.224
155,155,2014-06,13.261,16.25,12.732,16.658,20.826,19.549,2.397
156,156,2014-07,-0.757,3.02,-4.471,1.749,2.836,-1.316,5.822
157,157,2014-08,2.126,7.959,-3.663,5.79,8.539,1.556,9.302
158,158,2014-09,3.736,9.482,-1.853,11.389,10.96,7.565,7.365
159,159,2014-10,2.199,1.83,2.699,2.243,2.256,-0.753,1.07
160,160,2014-11,2.638,2.258,2.241,4.02,6.078,0.731,2.682
161,161,2014-12,-1.674,1.652,-4.218,-1.257,-0.038,-1.976,3.904
162,162,2015-01,3.393,4.948,6.889,6.249,6.091,3.395,0.378
163,163,2015-02,-1.349,-0.239,5.129,-1.347,-2.646,0.737,-4.376
164,164,2015-03,-2.248,-1.594,-8.604,-5.778,-4.876,-8.743,5.438
165,165,2015-04,1.067,0.632,-0.912,7.048,7.743,6.712,1.288
166,166,2015-05,1.55,2.252,0.063,0.68,1.784,-0.033,2.002
167,167,2015-06,-1.024,-0.355,-3.412,-2.488,2.517,-2.575,4.074
168,168,2015-07,11.495,11.85,3.772,16.127,19.475,11.977,7.788
169,169,2015-08,-8.464,-6.176,-10.222,-6.068,-3.981,-4.132,2.098
170,170,2015-09,-0.121,0.426,3.477,-0.581,1.642,0.688,-1.049
171,171,2015-10,5.331,3.019,7.48,9.396,11.272,4.903,0.954
172,172,2015-11,2.286,3.853,3.848,9.997,8.763,6.357,1.206
173,173,2015-12,2.704,2.924,3.6,12.045,13.457,11.077,0.852
174,174,2016-01,-9.016,-8.771,-9.8,-4.39,-3.678,-1.528,-0.56
175,175,2016-02,-13.441,-12.183,-11.922,-15.043,-15.957,-11.859,-2.18
176,176,2016-03,11.454,12.365,10.461,5.726,8.267,2.498,3.837
177,177,2016-04,6.248,6.137,4.934,7.633,7.933,6.366,1.385
178,178,2016-05,-0.808,0.725,-1.883,-2.029,0.289,-0.796,1.847
179,179,2016-06,5.97,6.214,8.428,7.975,8.148,7.937,-1.002
180,180,2016-07,3.681,4.648,4.728,4.87,5.924,4.22,0.813
