,Month,BA,BC,BN,SA,SC,SN,CMA
0,2003-10-31,0.06445549960908525,0.18544196682361008,0.07311312381278384,0.05287721660507242,0.04328171391747037,0.040289806432794006,0.055695482263461396
1,2003-11-30,0.025702977296852024,0.03489572970154953,0.04534264908604155,0.10863880597032528,0.15145386574355657,0.11866772749396061,0.0260039060889644
2,2003-12-31,0.1952325904710579,0.1750514039118962,0.20245306457728715,0.26308765595224226,0.1718124470104633,0.23804260674137415,-0.05572819775047033
3,2004-01-31,-0.03604037246568091,-0.018803484755142232,-0.014800325250462855,-0.09766030868921488,-0.14905711983805864,-0.10736990931565481,-0.017079961719152534
4,2004-02-29,-0.007807597386594471,0.03595408859846472,-0.0032004589903744146,-0.01649954282260217,-0.07329015673372162,-0.04486323597016524,-0.006514463963030131
5,2004-03-31,0.03447851519185416,-0.04687670075570151,0.039098125905456166,-0.03214597180471415,-0.05372399418415522,-0.015426166321866745,-0.05146661916349837
6,2004-04-30,0.028253347411872298,-0.0073507459326436955,0.029154957020594004,0.058539144217924714,0.09280747333462804,0.08351127936081136,-0.0006678821139063373
7,2004-05-31,-0.16965065411684074,-0.19107971356458037,-0.26440906253271335,-0.1519432109966175,-0.16045199580809547,-0.14961185021194384,-0.01496892212960882
8,2004-06-30,0.01533599186464957,0.04203096156883605,0.053287753464633596,0.0147559873556773,-0.0014418627423493583,0.007941427457520573,0.005248559803079913
9,2004-07-31,0.09140523686255611,0.15457961182541075,0.07570091601383808,0.08465739907269836,0.10895085512340592,0.08563653237867444,0.0437339155067811
10,2004-08-31,-0.0014330776159403977,0.01607727239285415,0.02353700100515192,0.07670480614449225,0.1134640887150066,0.08298047961998682,0.027134816289654445
11,2004-09-30,0.07949967931388953,0.06448698474547956,0.07189229055190875,0.09513426506637773,0.06618588439804608,0.07167074898748724,-0.021980537618370793
12,2004-10-31,0.029837324750980908,0.04111868660606955,0.0026641292344152796,0.028357668643788674,0.013311182809886527,0.028791047757699518,-0.0018825619894067488
13,2004-11-30,0.10754304848041107,0.09073123802021872,0.08591118406070034,0.12042294624894512,0.14281891788466225,0.1424117934574945,0.0027920805877623966
14,2004-12-31,0.04518336372032596,0.1719611510128829,0.10728420396105263,0.12856879330785254,0.14324886918302066,0.12160697032652461,0.07072893158386252
15,2005-01-31,-0.020379192125718096,0.019507294306965486,-0.025094970823151607,-0.016012325146467134,-0.005527183038082044,-0.015043281386681519,0.025185814270534335
16,2005-02-28,0.03076204276307379,0.025634726027127172,0.042308766400142014,0.031494367869007785,0.10743515664872855,0.039535136433251516,0.03540673602188708
17,2005-03-31,-0.009633801937324445,-0.05043214737819157,-0.05666983169037058,-0.004674798900342223,-0.008207083135819691,-0.014709109697746383,-0.0221653148381723
18,2005-04-30,-0.04955615452084518,-0.03740680100345822,-0.051747592398102275,0.012828207827175137,0.016124197929013418,0.026313972664854732,0.007722671809612619
19,2005-05-31,0.11013410707061243,0.06305740553303424,0.0695127563343317,0.08168841996824615,0.10670067233319436,0.10293258952959676,-0.01103222458631499
20,2005-06-30,0.06927496296350821,0.034748600900119365,0.04268500642118697,-0.0060615200612037,0.03205581250742998,8.978300771987127e-05,0.0017954852526224155
21,2005-07-31,0.01335861573120906,0.148544582012052,0.10065872282714415,0.09743854439091224,0.1307508986883192,0.11338832997852132,0.08424916028912498
22,2005-08-31,0.03370670218136796,0.10754247640350154,0.021288480350939925,0.133427750321254,0.1385264785746531,0.129727879547306,0.03946725123776634
23,2005-09-30,0.08377274351763742,0.05944521936019445,0.09741302129018826,0.02142198494727281,-0.02509266157669738,0.021786568881891212,-0.03542108534070658
24,2005-10-31,-0.08950964094830244,-0.125947930011628,-0.0814850458694262,-0.120005399045141,-0.13958411359376763,-0.09779516721553992,-0.028008501805976083
25,2005-11-30,0.1189934012479091,0.13548588086400365,0.11542156543676024,0.09990439029818773,0.12915574799566618,0.12334739730489423,0.022871918656786477
26,2005-12-31,0.08552115869792155,0.07342269168122491,0.04592622605621749,0.0691056360729146,0.03695045772220106,0.06253565497394459,-0.022126822683705097
27,2006-01-31,0.07853370296017757,0.08616210011466843,0.06777633055757214,0.03989683112460423,0.06648062213955264,0.046591209100818855,0.017106094084719636
28,2006-02-28,0.015510510229521421,0.04343967283122943,0.041312337997867224,-0.0065368346570392945,-0.005929301209353683,0.0011430990990885896,0.01426834802469681
29,2006-03-31,0.10792047425206729,0.13434538889639433,0.11172413880753655,0.07759590491317599,0.06927751296671787,0.06752283949927794,0.009053261348934472
30,2006-04-30,0.06233989745816945,0.09455952932523812,0.0843477249438521,0.07012945339692356,0.13141897848188333,0.07475767891210525,0.04675457847601422
31,2006-05-31,-0.12859859854616482,-0.1408286767730819,-0.14576865544390655,-0.12974248133319002,-0.1532619399166247,-0.1285545059512671,-0.017874768405175878
32,2006-06-30,-0.0134570579842812,-0.038194705700120735,-0.0180812492656185,-0.14752847499331928,-0.16923831248101306,-0.14542847653874766,-0.023223742601766656
33,2006-07-31,0.02245732470731604,-0.03342121115059916,-0.019607770432444868,-0.03132656063487429,-0.043657576511302504,-0.025170946447591994,-0.0341047758671717
34,2006-08-31,0.07187630366330004,0.08762478067236888,0.11543524470556378,0.1205007401047537,0.13498359425242884,0.11672853611319219,0.01511566557837199
35,2006-09-30,0.05589255756021908,0.057087004399713745,0.08015274273265607,0.06719629192217581,0.07925644315164158,0.06279892952935094,0.0066272990344802135
36,2006-10-31,0.08575353712438928,-0.03248433109560735,0.03279940886326927,0.059764577798256696,0.029328489323893238,0.02313152053188741,-0.07433697834718005
37,2006-11-30,0.08824519542973679,0.057238599340527656,0.02867902216027825,0.04721900608875118,0.006859731590797448,0.018398845285239072,-0.035682935293581436
38,2006-12-31,0.014075394743679536,0.004344662082571519,0.004028836405262996,0.033746903481601316,0.028290384898722973,0.0177822450591094,-0.007593625621993179
39,2007-01-31,0.04434995516868793,-0.007965510413927632,0.03695350132067937,0.05517413574201543,0.09191616707248731,0.040057095142853195,-0.007786717126071839
40,2007-02-28,-0.07889620665848762,-0.12251019403581154,-0.0743643018091274,-0.08891709891603017,-0.10323120832534444,-0.09740281137930644,-0.028964048393319092
41,2007-03-31,0.016955891573898235,0.026645836753559644,0.024124295916699904,-0.027863190984883095,-0.05521544235820872,-0.04543903405355688,-0.00883115309683211
42,2007-04-30,0.06280777712818214,0.05065355145242806,0.08162560607575868,0.0618355953038758,0.07752854004952975,0.053878993980537436,0.0017693595349499297
43,2007-05-31,0.04446149988545668,0.05022417300670251,0.06306249727642183,0.05679759021456459,0.04897280947953045,0.05389194125351449,-0.0010310538068941527
44,2007-06-30,0.010557100100919007,0.036985885093432175,0.005265771662717482,0.03977830068655578,0.03377541024835478,0.039832431360480536,0.010212947277156086
45,2007-07-31,0.03469879737748958,0.05453190022310179,0.06254020677512091,0.022435491971768973,0.0278795255414881,0.02252429716012525,0.012638568207665669
46,2007-08-31,-0.022374033992716348,0.0181320236981071,-0.00809975143980697,-0.022397918626376894,-0.005522032569014485,-0.018754022198795753,0.028690971874092926
47,2007-09-30,0.11630387273975179,0.1540137472661844,0.1548511276119822,0.08834660126946471,0.1645103863878362,0.08769395050254507,0.05693682982240203
48,2007-10-31,0.19052773502394602,0.17828099196814454,0.1628069706419277,0.05325265267442702,0.05056362387299146,0.061915505772806925,-0.007467885928618523
49,2007-11-30,-0.05382886359437689,-0.015464617630476749,0.027272161880369416,0.07283046281365675,0.08059447378758502,0.0510591285493275,0.023064128468914206
50,2007-12-31,0.1296650172480735,0.08395576932363501,0.0802650057062778,0.2016101827234035,0.2543008652863859,0.1770230712993151,0.0034907173192719465
51,2008-01-31,-0.18015992456926955,-0.24656575946071319,-0.1620835364659096,-0.22058161341166815,-0.28033633918592443,-0.22765731598336866,-0.06308028033284996
52,2008-02-29,-0.0313859955747381,0.045119596325520823,0.0205811834386504,-0.03276219777302486,-0.03490375130954904,-0.025545471311447198,0.037182019181867365
53,2008-03-31,-0.12331835240318996,-0.11160260434189576,-0.11464525207130884,-0.1773271462925272,-0.10234648735378746,-0.17508585978391494,0.043348203500016974
54,2008-04-30,0.16045700717703393,0.10478031070870673,0.09392585090334461,0.09666375106712236,0.14919095123667772,0.10543166126943308,-0.0015747481493859072
55,2008-05-31,-0.0456372950865737,-0.10262703040410814,-0.06483647974716979,-0.06738580098748029,-0.07128938792754545,-0.05575050611711072,-0.03044666112879981
56,2008-06-30,-0.2119941227754108,-0.18957866738109766,-0.17193030646268484,-0.2132572576704716,-0.18485431527549992,-0.17898586505104538,0.02540919889464241
57,2008-07-31,0.060071476746973454,0.13472381196946187,0.09344235474463637,0.027970099786997896,0.04873138682795319,0.025960734970023887,0.04770681113172186
58,2008-08-31,0.02313965934475873,0.0156814422659093,0.00984482810341126,0.01092974425308907,0.0038026025357609117,0.016363913395797635,-0.007292679398088794
59,2008-09-30,-0.18766536695503253,-0.1215729794099352,-0.07411800177743615,-0.19133383554709157,-0.18305573569306954,-0.1741711796311636,0.037185243699559695
60,2008-10-31,-0.2816915932130108,-0.2424804420937944,-0.26332147113785387,-0.4330752733729247,-0.3054785121190978,-0.32010439540032687,0.08340395618652163
61,2008-11-30,-0.06923898345121653,-0.1143332447652363,-0.03955561823230829,-0.15710475397546717,-0.1390438588789267,-0.13728409832630115,-0.013516683108739658
62,2008-12-31,0.10555280055879475,0.3045480465219716,0.09333155169606795,0.1288327153660952,0.11834258601925546,0.10555971907735939,0.09425255830816856
63,2009-01-31,-0.08192866830784451,-0.12368351628066487,-0.009350049086192759,-0.13348890098283345,-0.08998730718025037,-0.08401897347221564,0.0008733729148813485
64,2009-02-28,-0.05616825157437154,-0.00633035209535406,-0.03428606435209753,-0.08503162517158981,-0.07267036597123357,-0.08254256590156081,0.031099579339686864
65,2009-03-31,0.09677399975879812,0.0641593248143568,0.0815072051462273,0.06077907947688959,0.05003416986220353,0.042071465765574294,-0.021679792279563695
66,2009-04-30,0.2080302459662158,0.11563340007705479,0.14696937508055158,0.2218272270809213,0.18468201938340023,0.19011137980560344,-0.06477102679334104
67,2009-05-31,0.3327802321891991,0.3723406533851846,0.34353809675649055,0.5126032949793338,0.40439530021681147,0.41712450041664195,-0.03432378678326842
68,2009-06-30,-0.013091355107384451,0.0639639079377546,-0.03863349426181526,-0.03226200996898072,-0.019531144385672057,-0.044582698233786744,0.04489306431422385
69,2009-07-31,0.11640375081219938,0.05116224636796887,0.07095222667273897,0.07254488066390426,0.09131786311457794,0.0917818317386407,-0.023234260996778416
70,2009-08-31,0.040865748399098664,0.004141856880778314,0.01324730800682474,0.11963621684393241,0.10805467767382733,0.09146963689676829,-0.024152715344212712
71,2009-09-30,0.0767032398976211,0.12462509678704906,0.07922164632201321,0.07240017220784292,0.10348639422255869,0.08459871886107423,0.03950403945207187
72,2009-10-31,-0.10527042077737636,-0.024297262730538456,-0.055325008833669746,-0.07652279024059691,-0.07596820799216628,-0.054014534966813785,0.040763870147634274
73,2009-11-30,0.10712414580345427,0.05391971039263422,0.06480453953854035,0.04745426597049692,0.07340977713638054,0.07457920067281956,-0.013624462122468206
74,2009-12-31,0.034297348960535434,0.038874669235239745,0.04358442836844885,0.08485088572226261,0.08323256288817323,0.08196439447788625,0.0014794987203074622
75,2010-01-31,-0.03673450045068123,-0.02918091507154004,-0.03474810109439411,-0.009486409280614292,-0.022315150548321023,-0.01657046437922214,-0.0026375779442827686
76,2010-02-28,-0.010971232930270537,-0.02887349975838662,0.00018822335892305526,-0.03718073352697577,-0.026595005699849662,-0.012627182346894684,-0.003658269500494988
