Month,mom_p30,mom_p70
2000-12,-0.5141795611441925,-0.2015996610497026
2001-01,-0.4924109590783382,-0.17369718812902746
2001-02,-0.530416263246109,-0.13026705638559027
2001-03,-0.46838718885596675,-0.06155015806272168
2001-04,-0.5259507026845468,-0.15795468998371603
2001-05,-0.5296172285889921,-0.15841979774585657
2001-06,-0.4774933552741425,-0.10627991822252024
2001-07,-0.49426187933555416,-0.11614709472262073
2001-08,-0.5822498938266746,-0.17198510594174896
2001-09,-0.5323844374829962,-0.09760901910976598
2001-10,-0.516065492866297,-0.07597375980417656
2001-11,-0.5325925210747839,-0.10444490932483654
2001-12,-0.4355551451337082,-0.07105205801246034
2002-01,-0.4536870174856248,-0.11649984398895995
2002-02,-0.42101759483795204,-0.06673082920495085
2002-03,-0.19605594343464855,0.23222308674638523
2002-04,-0.12387382899946027,0.3492342569604898
2002-05,-0.12583068789025784,0.33336995283795745
2002-06,-0.047955403015618,0.427421068113004
2002-07,0.13503356260129187,0.8631735635902557
2002-08,-0.0017284315378619784,0.5311492627242251
2002-09,0.17122606987685762,0.7695626794204774
2002-10,0.08007708403898606,0.6389962146743928
2002-11,-0.10638747368836494,0.3932006994160535
2002-12,-0.03373319121529648,0.513856447933807
2003-01,-0.02210103555020097,0.5053634469968133
2003-02,-0.08244211570079674,0.35744577309425574
2003-03,-0.14739719404919138,0.29379290724499657
2003-04,-0.3179953820412896,0.06338100072761398
2003-05,-0.24968193164909977,0.13451576125506434
2003-06,-0.24548183921304914,0.12965268042301
2003-07,-0.044798490819932764,0.40260466612792045
2003-08,-0.002449445127305124,0.5308966300528658
2003-09,0.09995933992720983,0.8113829105343461
2003-10,0.29668474383164156,1.0086591498211803
2003-11,0.2568435682484662,1.047683794949534
2003-12,0.4464696161073925,1.2786718247104796
2004-01,0.8707389729859495,1.9473148300896062
2004-02,0.5791119725554273,1.564638473895717
2004-03,0.668222808804786,1.7205781300187377
2004-04,0.5033422680632124,1.4314291575157478
2004-05,0.38830215731530854,1.2062713245375905
2004-06,0.09027713621411013,0.6528989736787177
2004-07,0.03370885789912754,0.5059564735909537
2004-08,0.020817771311030304,0.48664354994307435
2004-09,0.10420748235805366,0.7053166405370346
2004-10,0.29266508247155026,0.9462397947234216
2004-11,0.09606236096444432,0.6538121868867381
2004-12,0.014655992396991427,0.528938098740764
2005-01,0.33135828625001834,1.0313708498748224
2005-02,0.3831133904787925,1.1383727567869604
2005-03,0.4809182778139283,1.4343757846043799
2005-04,0.3286040351654789,1.11571761007283
2005-05,0.5476578428376982,1.5083362859571665
2005-06,0.7592521480034953,1.9885107410113974
2005-07,0.5959334767279216,1.7035636645393815
2005-08,0.5922954630562082,1.6118191927537926
2005-09,0.6459589907114933,1.7230361963502907
2005-10,0.6794490466951814,1.8736468016317442
2005-11,0.2125750231384928,0.9586257475099279
2005-12,0.18651213213698017,0.9309495007388545
2006-01,0.2500143578776388,1.0812529245380662
2006-02,0.20553188698963792,0.9881982234841299
2006-03,0.19825687439964904,0.9443069457505502
2006-04,0.169924509528451,0.9727351359485149
2006-05,0.05307863991461937,0.8683642770228848
2006-06,-0.07521645833182457,0.5401568450814724
2006-07,-0.28855364839048947,0.17713856743009365
2006-08,-0.44522991258590017,-0.03958216310285059
2006-09,-0.30324548047623573,0.10459468474167948
2006-10,-0.06338567993393754,0.4329676729029927
2006-11,-0.12087659054058249,0.3327607844853521
2006-12,-0.16334890316160672,0.3052847582096945
2007-01,-0.1840421619440297,0.26189861481346993
2007-02,-0.08218660571584979,0.40574017779254024
2007-03,-0.1903853550911457,0.19995899927453695
2007-04,-0.30950871396270957,0.015091578717786436
2007-05,-0.1758394238660458,0.23527991906007095
2007-06,-0.0018389826247875675,0.524467762163729
2007-07,0.07571118027246934,0.6533507267639318
2007-08,-0.03355915220755357,0.5130755855296778
2007-09,-0.07688495730458074,0.44299133134827906
2007-10,-0.02881075661502125,0.6109575002442142
2007-11,-0.06342907872230263,0.602746442213073
2007-12,-0.01884101441163898,0.6515375384957997
2008-01,0.185243864075485,0.9033195518653887
2008-02,-0.0161112150462945,0.6313840896788201
2008-03,-0.001169595820816596,0.6173514540308793
2008-04,-0.21042032919563364,0.22433428238427922
2008-05,-0.11696023677481912,0.31918280348692274
2008-06,-0.19937229852124977,0.1963041412041512
2008-07,-0.36187827591615956,-0.02410301476638027
2008-08,-0.33528717221620497,0.0048288171636217125
2008-09,-0.3832830665011483,-0.08102201086333445
2008-10,-0.5067455222328379,-0.214971132820196
2008-11,-0.702386699261857,-0.47975195461823095
2008-12,-0.8052420785585327,-0.6380054809974105
2009-01,-0.693029587725168,-0.4741558089160586
2009-02,-0.7083414453328103,-0.4893522217197772
2009-03,-0.6611349675098743,-0.4184712392698883
2009-04,-0.7047820010508741,-0.4936765521913803
2009-05,-0.604654183965077,-0.36903434396877277
2009-06,-0.27537400213616764,0.03588116200799387
2009-07,-0.3423375992558126,-0.035749286194642835
2009-08,-0.3206785637608871,0.018071935534181557
2009-09,-0.05032698092697563,0.35734259031984883
2009-10,0.5422260750221526,1.2362242878893368
2009-11,0.5807146417832846,1.405565463315478
2009-12,0.5265829930078184,1.2807931468440128
2010-01,0.8525302354287455,1.8033599435503278
2010-02,0.9470457327279824,1.9713662402918743
2010-03,0.8354100284162908,1.805131493830615
2010-04,0.5723290756020419,1.425101748891205
2010-05,0.21650616655640542,0.8468181829704151
2010-06,0.18570487494984134,0.8080226346447046
2010-07,0.1804889808359532,0.7435825542175547
2010-08,0.09121940064883682,0.6695894151866715
2010-09,-0.00036755434095330836,0.5578593166476996
2010-10,0.18236850427598328,0.8038061588971694
2010-11,0.12099771335958687,0.737006318125194
2010-12,-0.06611632339843683,0.46049117151294805
2011-01,-0.061312632555794014,0.4387503916728231
2011-02,-0.14578565201546806,0.29957899261310533
2011-03,-0.23994462019671337,0.16092456189093385
2011-04,-0.304425800729719,0.07311071727162397
2011-05,-0.17549608614250328,0.18992650999693572
2011-06,-0.2737995410937807,0.0845924897049104
2011-07,-0.31291285672277896,0.016349001449405733
2011-08,-0.31304543045740674,0.004232187374491381
2011-09,-0.4465463854575862,-0.16058587545589031
2011-10,-0.43621042023879986,-0.158631457601485
2011-11,-0.3750854708004159,-0.07954359290306767
2011-12,-0.4616845158123184,-0.16363001356731438
2012-01,-0.4408151235637661,-0.12618482030570438
2012-02,-0.2743878414600209,0.02402866009762596
2012-03,-0.265392019921288,0.02659402577790072
2012-04,-0.3577003490125522,-0.0571517297017827
2012-05,-0.31909187692741514,-0.0018532723525808525
