Month,BH,BL,BN,SH,SL,SN,HML_AT
2001-10,0.042754234068960936,0.060685609099664736,0.07995096001160491,0.045642092383743636,0.10545196323165723,0.07416774144746587,-0.03887062293930871
2001-11,0.16448615813176287,0.08735810792607618,0.16634435519119276,0.16404943540415443,0.2351745788751851,0.15601514965146132,0.003001453367328044
2001-12,0.02289429696702095,-0.06425052726277045,0.01728481234945992,-0.006385889760610167,-0.015561045963458675,-0.020839902731928654,0.04815999021631995
2002-01,0.030978842345829743,0.03653658298592109,0.040448235635636036,0.04116001974114253,0.018688667595232238,0.04490689326911005,0.008456805752909472
2002-02,0.09944947439217701,0.2738020056112924,0.0029535058556511068,0.027959588197577368,0.03462861524275638,0.07036323046917575,-0.09051077913214722
2002-03,0.039668094430087716,0.1001803954831591,0.01675410697849973,0.07398896428000026,0.07364196470371857,0.06240469530135105,-0.030082650738394855
2002-04,-0.043870301705490666,0.11663529138506668,-0.009761027626806962,0.1360322454990917,0.07744063651730196,0.13526724726451395,-0.050956992054383796
2002-05,-0.06211331204119911,-0.06049665460742067,-0.04008655069514312,-0.054497005159171025,-0.07325820782008023,-0.05899764460404687,0.008572272613565385
2002-06,0.0029744187941096265,0.041723335633179905,0.012167491193856265,0.0892297459978762,0.1278797286381811,0.1353554443127461,-0.03869944973968758
2002-07,-0.07924523320755149,-0.01182157625731342,-0.08506761439407427,-0.1018960069251925,-0.17949508630785835,-0.13897378925647783,0.005087711216213889
2002-08,0.0940287664433748,0.03866492998605597,0.061868558858562385,0.03803874231638894,0.008432622708813531,0.018205629193773467,0.04248497803244713
2002-09,-0.07705089576728227,-0.06558067191204889,-0.04646520208988311,-0.05071359661977182,-0.04874100416849746,-0.05680740875069991,-0.006721408153253873
2002-10,-0.02047926754679834,0.007179147623812251,0.02434608203349631,-0.03821340156735247,-0.03882155108991458,-0.021831909040804235,-0.013525132824024243
2002-11,0.044573670373449094,-0.25185054445266836,0.13134128515070267,0.04181511482040325,0.10163660489895796,0.06488409065923151,0.11830136237378137
2002-12,0.07399568761698899,0.039985770991351775,0.03420606032692961,0.04160435582208385,0.03905491613211925,0.03874690071719185,0.018279678157800912
2003-01,-0.02899582809335562,0.03999093443988985,-0.06446372819453611,-0.02939081043344824,-0.0760529162800037,-0.04595522937530395,-0.011162328343345004
2003-02,0.01707808728796524,0.024969538291099307,0.037716716008038206,-0.011718658663509612,0.02688577489201849,0.011981650707601488,-0.023247942279331087
2003-03,-0.07151784276508774,-0.08285153770423902,-0.07322264534982871,-0.10012586290610213,-0.13554435034271337,-0.11553882376911007,0.023376091187881254
2003-04,0.017894019588150307,-0.06426502870272449,-0.08925109616841811,0.05474317851431573,0.05526750916800586,0.06790071395731358,0.04081735881859233
2003-05,0.14990617086505528,0.14695262994256236,0.07470804969002937,0.17185643172672957,0.19070904552150594,0.16641624284698925,-0.007949536436141741
2003-06,0.123609942318562,0.11120804552471718,0.14336197744853266,0.11418559067732284,0.15135807329143278,0.15245254781451956,-0.012385292910132545
2003-07,0.0005524019737876106,0.040706531492033786,0.08356038869611453,0.07226214600337713,0.055393897832544586,0.07664708581132793,-0.011642940673706817
2003-08,0.19518490183875195,0.12966385095477212,0.14075223924905572,0.11906628005559068,0.09896031919640781,0.12508552676996176,0.042813505871581364
2003-09,0.0049696171021418895,0.010910248346777732,0.08888007164530422,0.046615156890728066,0.05522250871366918,0.03396095097471229,-0.007273991533788479
2003-10,-0.014423698725752929,0.06933304772733369,0.11069964973491753,0.02105677998833279,0.05412722372131579,0.03822291578155807,-0.05841359509303481
2003-11,0.0649766853942644,0.046349467749063136,0.03416873317631504,0.09520146869309978,0.14070110352937956,0.16401287396649855,-0.013436208595539262
2003-12,0.18847205851300247,0.21480352243614656,0.16761071013335996,0.203204101979621,0.2314647592133639,0.23366554219394436,-0.027296060578443526
2004-01,-0.012182740862779847,-0.03930693752539809,-0.053554210514991415,-0.09422295882914475,-0.12751651148364054,-0.13650746306362402,0.030208874658557025
2004-02,0.0014623294797212185,0.010008260608674902,-0.015185167196936794,-0.026607896176787816,-0.050908689757093666,-0.04816479181047888,0.007877431225676084
2004-03,0.0038067645613159415,0.07595699711264213,-0.037092519360947,-0.02933035071082001,-0.04710825236286319,-0.03749781994331919,-0.027186165449641503
2004-04,-0.0005999453217880159,0.0029919051638974026,0.04081272425396164,0.08041603067295122,0.06403834335258363,0.0939244849358642,0.00639291841734109
2004-05,-0.2218902392188358,-0.21097851994347175,-0.12178133543276881,-0.12663380087133203,-0.13635836305244356,-0.14062139329557613,-0.0005935785471262445
2004-06,0.054362673750721575,0.022825258711896865,0.006053159408711306,0.014770155446012696,0.026715210644232896,-0.0020972009397905427,0.009796179920302257
2004-07,0.02848849578881527,0.10850231566558921,0.1074604352437549,0.08269531267575013,0.09471331644979138,0.10749715162522755,-0.04601591182540759
2004-08,0.007071653952326975,-0.0008081710894842609,0.021171882301916228,0.10125970124052355,0.09043267402351389,0.11994208277770925,0.009353426129410453
2004-09,0.07090773056571796,0.0872310128793968,0.08096730432409505,0.06552579647378738,0.08504379791842426,0.08456920717348665,-0.01792064187915786
2004-10,0.011164247051072431,0.03291874023782665,0.017434353096087412,0.008000590921065219,0.032552682603571026,0.03721794107841212,-0.02315329243463001
2004-11,0.09629200313736022,0.07148507605564576,0.07943731474160956,0.11802716494457657,0.13896590768813422,0.13628272159116867,0.0019340921690784163
2004-12,0.11367819187712176,0.0684091041512635,0.05705364551016553,0.11336761665610057,0.13387494375996056,0.1092829277226218,0.012380880310999126
2005-01,-0.044056830646278154,-0.0038526061025415106,-0.01616760953385737,-0.014901743563114226,-0.0009270173721713711,-0.013948232089170925,-0.027089475367339747
2005-02,0.00591781187268705,0.030520024194529632,0.032490830844897726,0.050854627982406996,0.054628926700981406,0.06167985197749412,-0.014188255520208498
2005-03,-0.08647687989985364,-0.03106093579829701,-0.02264622841868091,-0.0011414407549663692,-0.01181920700183736,-0.005607259236353194,-0.022369088927342823
