,Month,BG,BN,BV,SG,SN,SV
0,2001-11-01,0.1194921210758078,0.0844562106332459,0.06674719585350919,0.1771771029688539,0.19773669672895236,0.15584796519782146
1,2001-12-01,0.012287045567461834,-0.05187934791463621,-0.06985483803979757,0.02013037424697264,-0.0033236920364921084,-0.03721021189104561
2,2002-01-01,0.017611550723262245,0.07130802051246539,0.03846835576346849,0.021264230964660288,0.041857965130829664,0.01936586251099202
3,2002-02-01,0.048302395287136105,0.2696665853260125,0.32533960014105345,0.010793099597796433,0.08318728207510626,0.06468845615879762
4,2002-03-01,-0.001841554630525748,0.08108045753725997,0.08857026737864138,0.09826434535769746,0.1039600101975643,0.06543285010912346
5,2002-04-01,-0.04437744873305562,0.11281969070783125,0.08071554683532538,0.13116004377532148,0.11989527089417137,0.11991269589325317
6,2002-05-01,-0.06015270017542373,-0.0567868938687538,0.16523321367252253,-0.05542575626507854,-0.056549206218538005,-0.0011469951052752393
7,2002-06-01,0.01537925176990799,0.0512689131901125,0.11862795572636751,0.039010237915010265,0.155432808819783,0.26702869114250577
8,2002-07-01,-0.08353088222946442,-0.010694930901257638,-0.11878746344305231,-0.11960652698074309,-0.13255632403011908,-0.147478850739644
9,2002-08-01,0.0673737977028302,0.04881472416734326,0.009065992135856064,0.039559612768706925,0.017528691108608992,0.0029256579616052446
10,2002-09-01,-0.041067489167209634,-0.09179480227374098,-0.08423660927470236,-0.03530441408187342,-0.05479803315175131,-0.03824959832007718
11,2002-10-01,0.012035006024913888,-0.024688172849009468,0.008185934415797689,-0.034886776778679525,-0.014368130213263745,-0.023047874344010708
12,2002-11-01,0.07068106400816725,0.065040842384041,0.2137735731838546,0.062357657731192354,0.08409835988476823,0.08669872769526249
13,2002-12-01,0.041229634169737656,0.05731709653883758,0.2604120746534166,0.05775980091835583,0.04741255674697058,0.02769857193158862
14,2003-01-01,-0.03668584831936944,0.031732452333640464,-0.044314243046697156,-0.06259521801574724,-0.02786371389329501,-0.05764128896377328
15,2003-02-01,0.0227547284391443,0.026427104446207144,0.021815614847075015,0.002703278770682258,0.0345773553222812,-0.004116164894297388
16,2003-03-01,-0.08118320781758094,-0.050916118224320815,0.01559271855238122,-0.1216841289974532,-0.08381883208810559,-0.14325984848027215
17,2003-04-01,-0.03759701642261864,0.01604132762736368,0.004850833923987356,0.046037434194782755,0.08332097814558909,0.10619848312507207
18,2003-05-01,0.10586906917916179,0.24168320824961945,0.5841136841597494,0.15682663538922176,0.23710034581140166,0.2785579424368622
19,2003-06-01,0.10001996862763522,0.12412593861692885,-0.05105918318244391,0.11492854002402282,0.14101455562001217,0.15730859858303003
20,2003-07-01,0.032179038844999355,0.07109715795471187,0.268487248399427,0.10999912519042541,0.06962232143136898,0.08384361278162693
21,2003-08-01,0.16183473171493729,0.20155228266929018,-0.01774951968988175,0.09528958706742728,0.14073051372717763,0.110946033827555
