Month,BN,BR,BW,SN,SR,SW,RMW
2002-10,0.05382580726255294,0.002620777149238493,-0.06539757919804437,-0.01999004138181467,-0.0189961689627754,-0.039540865034900605,0.044281526209704034
2002-11,0.01025464780995303,0.11914598072900853,0.08960609903077735,0.0629305650191334,0.04851321005775624,0.08697592450542162,-0.0044614163747170865
2002-12,0.0308788882242707,0.04504632589035082,0.036721678258911934,0.02358831675855212,0.07635868842912814,0.03470736787212491,0.02498798409422106
2003-01,0.004271537135697735,-0.06647804350100979,0.01941854380623161,-0.014553324656852345,-0.03989465170749771,-0.08660340847701868,-0.019593915268860215
2003-02,0.04278148942918675,0.0284152382020426,-0.01233785632365775,0.009125843183650513,5.170040990764684e-06,0.019934586253486156,0.01041183915660248
2003-03,-0.05881371426955499,-0.08786939462560237,-0.11005874494560955,-0.08512742351395285,-0.12603465246089773,-0.15704246630361393,0.02659858208136169
2003-04,0.012975399704644355,-0.06317404797768336,0.08671500866842713,0.06670229160482431,0.08241420039922506,0.037429174850366766,-0.052452015548626094
2003-05,0.20620534708795718,0.12314828613377464,0.11005186708114476,0.1855737249641736,0.19508586746905163,0.2075406974387675,0.0003207945414570035
2003-06,0.06487785392196128,0.1311530971698209,0.19254825586051083,0.11824395913916093,0.15508149184921644,0.14851676523446816,-0.02741521603797084
2003-07,0.055750931331805836,0.03075747686758983,-0.007216780289889181,0.08868347272464504,0.07827219509406949,0.030465774909922323,0.042890338670813086
2003-08,0.2124279602489808,0.20635512959470034,0.145352385520978,0.13956421566480878,0.12636161473070714,0.0830122785068482,0.05217604014879064
2003-09,0.070170009075233,0.03524291832730394,-0.0070833961998027824,0.06760500293026978,0.05440954446894536,0.0005344439630507445,0.04810070751650067
2003-10,0.07193356447555622,0.010341334731229666,0.15535633350353792,0.033225395859284,0.041063321066816684,0.04971802018409112,-0.07683484894479135
2003-11,0.033606189863276924,0.0561916240825246,0.05462377122679658,0.1473945533134275,0.10041762737836706,0.15033364542313452,-0.024174082594519725
2003-12,0.21138913094649484,0.18103678363262346,0.15334105091039624,0.2066778403039798,0.2294647431120303,0.2636484446252202,-0.0032439843954813197
2004-01,-0.05579994980472132,-0.033189503604939684,0.021305670637238563,-0.12520414483160075,-0.11752358316658439,-0.1157316988122575,-0.028143529298252562
2004-02,0.00017384749701466397,-0.012213903721610173,0.019402567863849546,-0.040220679256844964,-0.02209834647835622,-0.06474928199825898,0.0055172319672215225
2004-03,0.04197964024630964,-0.027349773793956946,0.02245893881883184,-0.03629936166506087,-0.027164716021935927,-0.032534259898520816,-0.02221958436810195
2004-04,0.014225170618165122,0.016705144342641132,0.020301300591882957,0.0776523052344131,0.07907640869314471,0.08539132364460096,-0.004955535600349038
2004-05,-0.19314145976980882,-0.18472562678444363,-0.18272744338918143,-0.1140213177890149,-0.15434103076564107,-0.14575774839961436,-0.0052907328806444665
2004-06,0.0027531496044852517,0.04394025096206752,0.018598339475866858,-0.00031567627087756477,0.016756752629156862,0.015199221523263109,0.013449721296047212
2004-07,0.09980959454729793,0.06675452986045746,0.08761675427208562,0.09227354162405275,0.10276607375197415,0.10662899606025265,-0.012362573359953333
2004-08,0.005968034028175887,0.013738340833428328,0.007839542120978229,0.09921820999867317,0.12225687506867082,0.08984949639257843,0.019153088694271243
2004-09,0.08406976562640844,0.07004983171325418,0.08995193847398979,0.06984950340158486,0.08426070082477596,0.08187406072132994,-0.008757733328644782
2004-10,0.03248268604779572,0.007565884538083441,0.009328825713280748,0.022019286085921987,0.02482653708331749,0.03472988591687215,-0.00583314500437598
