,holding_month,BL,BW,SL,SW,WML
0,2000-11-30,,,,,
1,2000-12-31,,,,,
2,2001-01-31,,,,,
3,2001-02-28,,,,,
4,2001-03-31,,,,,
5,2001-04-30,,,,,
6,2001-05-31,,,,,
7,2001-06-30,,,,,
8,2001-07-31,,,,,
9,2001-08-31,,,,,
10,2001-09-30,,,,,
11,2001-10-31,0.06049360040190532,0.05475781558595639,0.23121585509212433,0.04981820640296673,-0.09356671675255326
12,2001-11-30,0.364185713221604,0.03776843074819335,0.37603330662326473,0.10309359564242299,-0.2996784967271262
13,2001-12-31,0.021044045626696924,-0.01610541307521695,0.04493650405274737,-0.012110861628182474,-0.04709841219142186
14,2002-01-31,0.024253871088951988,0.04109740946597116,0.032331281936821214,0.057579684387202575,0.021045970413700266
15,2002-02-28,0.0561349882993674,0.16989250987021248,0.02623700721899738,0.05330454971118249,0.0704125320315151
16,2002-03-31,-0.0667567478708876,0.015998868471447856,0.09670087563863196,0.07319233134937124,0.02962353602653737
17,2002-04-30,-0.0485963554003924,0.04047094514297386,0.05495776094233582,0.1511670157873949,0.09263827769421266
18,2002-05-31,-0.02533949425013697,-0.06130031114653333,-0.051868598767689886,-0.06566392936939851,-0.024878073749052487
19,2002-06-30,0.05539106794479777,0.029005773189711245,0.14025650447326576,0.10699455503899108,-0.02982362209468059
20,2002-07-31,-0.0631016771973554,-0.009261307697081882,-0.1481377855659009,-0.1307770426020517,0.03560055623206136
21,2002-08-31,0.07555349048640075,0.03314291292428688,-0.006487889352884008,0.04100077639217727,0.002539044091473701
22,2002-09-30,-0.029234432723155724,-0.12133910353245292,-0.07178275104542538,-0.03721364657533505,-0.028767783169603434
23,2002-10-31,-0.03801537116139496,0.06258575199176279,-0.046395739373645245,-0.018625913934136363,0.06418547429633331
24,2002-11-30,0.06685867536159866,-0.03309331826455287,0.08812408910188492,0.06441672800335015,-0.061829677362343155
25,2002-12-31,0.04553053770480256,0.060726101589991456,0.025431827316247345,0.06656548415329029,0.02816461036111592
26,2003-01-31,-0.018420253360326672,0.02899913467609472,-0.09430975885091013,-0.0261805192459543,0.05777431382068861
27,2003-02-28,-0.02168150336665577,0.02142339678861666,-0.015137641082038491,0.032567285150504756,0.04540491319390784
28,2003-03-31,-0.12255616356660198,-0.05332808143039485,-0.16420953863577814,-0.0848809132827572,0.07427835374461404
29,2003-04-30,-0.07341585681238226,0.025533012920071867,0.06706086331584674,0.07347141427383407,0.052679710345220725
30,2003-05-31,0.07449622031720339,0.14235361180121447,0.19145708501938408,0.20872137702406185,0.042560841744344435
31,2003-06-30,0.14717402794588644,0.11114683899203272,0.13975476770403744,0.12345364600919938,-0.026164155324345906
32,2003-07-31,0.05546919457863564,0.04750799699335446,0.02294349951746929,0.08772950623309161,0.028412404565170565
33,2003-08-31,0.12342765256089815,0.2231443406411285,0.0889369184911656,0.14011829545576446,0.07544903252241461
34,2003-09-30,0.047966486830624745,0.06194034245730929,0.012064866179172655,0.07928311381787324,0.04059605163269257
35,2003-10-31,0.1150756506524442,0.08638181677405352,0.0012011210548015419,0.08532244147782797,0.027713743272317876
36,2003-11-30,0.12399218165950902,0.03626105420975105,0.14451607021682386,0.10090515621514759,-0.06567102072571712
37,2003-12-31,0.13757743729291264,0.18816046074528525,0.27685866852053087,0.24481618037614858,0.00927026765399519
38,2004-01-31,-0.08808392603441001,-0.03995502607486819,-0.14368944041304094,-0.11464781333670519,0.038585263517938784
39,2004-02-29,-0.030760928823940596,0.016497859932633963,-0.061771599052158746,-0.023091203231594134,0.042969592288569586
40,2004-03-31,-0.05357991156168923,0.02112026111856857,-0.0583043675475817,-0.009034932292232609,0.06198480396780345
41,2004-04-30,0.03144425763771787,0.009429288428246063,0.06830596512061103,0.07963165585424851,-0.005344639237917163
42,2004-05-31,-0.028155050700253623,-0.24294078437243688,-0.12448582603194133,-0.16534185270189522,-0.12782088017106857
43,2004-06-30,-0.04962104614694861,0.05582940006325959,0.05383180601526418,0.0011740509230442609,0.02639634555899414
44,2004-07-31,-0.04104168650246654,0.0508338057928938,0.11266487043426332,0.11374380304589624,0.04647721245349662
45,2004-08-31,0.001425287919532857,0.025910694190879005,0.07301910295127208,0.09797177112438134,0.0247190372222277
46,2004-09-30,0.08687896705292539,0.06829697699485977,0.09055540059504415,0.07562168338885734,-0.016757853632126216
47,2004-10-31,-0.001427979341402683,0.018568324529161802,0.00437077715214294,0.04194387238308573,0.028784699550753638
48,2004-11-30,0.0833455142055306,0.1406570919373547,0.11635293341365821,0.14582436844876825,0.04339150638346709
49,2004-12-31,0.10990432985181937,0.18924754871269933,0.15630803738549315,0.12375941148407175,0.023397296479729296
50,2005-01-31,-0.03774809326571663,-0.004460699872905121,-0.00483078657678319,0.021613885121936776,0.02986603254576574
51,2005-02-28,0.02984572054603067,0.019029511261323726,0.029643418043085817,0.07237464675260254,0.015957509712404887
52,2005-03-31,-0.04067433762269793,-0.02734734268109255,-0.04205880819260196,0.015735967719050694,0.03556088542662902
53,2005-04-30,-0.041268404617037076,-0.04287238053152967,0.01316257610346213,0.05539152737256143,0.020312487677303353
54,2005-05-31,0.08065232392997584,0.04689563449077312,0.11282953013962707,0.1007551652114142,-0.022915527183707804
55,2005-06-30,0.07503085270823141,0.013821663093217916,0.0063468524594031935,0.02784976232210107,-0.019853139876157812
56,2005-07-31,0.04515976343228983,0.15037758188116954,0.08900375790261482,0.1488537462974327,0.08253390342184878
57,2005-08-31,0.04556670045973809,0.0804989861677516,0.10389831150352599,0.175412429657692,0.053223201931089745
