holding_month,BL,BN,BW,SL,SN,SW,WML
2000-11,,0.07859983812820762,,,0.10092837796415433,,
2000-12,,-0.01347956676818823,,,0.0034217054633264503,,
2001-01,0.06309304756022995,0.10126803797221269,0.09301254789512203,0.0016410518248877704,0.012893913501032826,0.007656271342198248,0.01796735992610128
2001-02,-0.14948984289235037,-0.025947488861468568,-0.012847730704146073,-0.0827601415829315,-0.02617595913388913,0.010876010969171243,0.11513913237015352
2001-03,-0.448395211791211,-0.1927100704207866,-0.10425405848599384,-0.37879149191667566,-0.2288658288463234,-0.19953190465224221,0.2617003702848253
2001-04,0.014297508881701138,-0.02480659890624926,0.002052660910268484,-0.0615202910684705,-0.06195094726953174,-0.01941956878879696,0.014927937154120443
2001-05,0.1643749669297879,0.04187352371093602,0.04770700645671534,0.18972540320924744,0.12005070974646834,0.07308073857303883,-0.11665631255464058
2001-06,-0.21076021545181922,-0.06875549675875439,-0.047413726073105164,-0.20802970269893206,-0.1125414387473355,-0.11164472141297245,0.12986573533233683
2001-07,-0.11073102175861185,0.004127044809035697,-0.03985229853439864,-0.17043554333318695,-0.05805183526296663,-0.018067021026636768,0.11162362276538171
2001-08,0.10559208112763702,-0.0009043026319395033,-0.027171452648380185,0.024760329768072853,0.014463410504607168,0.017955976967262078,-0.06978394328841399
2001-09,-0.3233574500996398,-0.18697156972113899,-0.11394023281944572,-0.1867498831268593,-0.08891638517708658,-0.06843414202525969,0.16386647919089686
2001-10,0.1122736897433586,0.05026080934370908,0.056461795005839324,0.2334830800126027,0.0684288489232343,0.04922393012056279,-0.1200355223147796
2001-11,0.365008981393989,0.10629048725568188,0.03585601527312898,0.3989236904331362,0.13512665098592408,0.10656852732363739,-0.3107540646151794
2001-12,0.07883286849736833,-0.028658103423739298,-0.013833546176355517,0.04621426993885682,-0.03682489619794128,-0.007730501395899999,-0.07330559300424033
2002-01,-0.02077386457774443,0.009262436541748425,0.044532756414561,0.018175088878872384,0.026702285407154573,0.06748055620827724,0.05730604416085515
2002-02,0.0899906475122299,0.04202496507897241,0.1687189570174599,0.005830663751466022,0.08673846953033329,0.05855580045627529,0.06572672310501962
2002-03,-0.04363655437969632,0.031946988693393144,0.016213519034776257,0.11776283407469672,0.06562509095401826,0.0750655685041032,0.008576403921939528
2002-04,-0.05247299976690933,-0.02784795541744346,0.042992568806984925,0.05186347673350645,0.10988668605600123,0.15190975546058125,0.09775592365048452
2002-05,-0.023962381250599407,-0.05932609869163477,-0.06300220391250055,-0.07050029358269548,-0.03032671800860336,-0.0718813962867425,-0.020210462682974085
2002-06,0.047110285222447264,0.01350208187220264,0.02480629422366312,0.14013675829055405,0.13272719745933237,0.10260557580116411,-0.029917586744087038
2002-07,-0.06979778620943934,-0.10394058601471899,-0.009236442812945108,-0.1602365357720668,-0.07356791227406312,-0.1406424088450582,0.04007773516175142
2002-08,0.07616104166786967,0.05459366384614057,0.03410788181472421,0.004119226858130603,0.011432128593942839,0.04807563964407321,0.0009516264663985766
2002-09,-0.029165664017666886,-0.05270278350743596,-0.11971866516384584,-0.06996467048673041,-0.039644453990765716,-0.04019557841408698,-0.03039195453676776
2002-10,-0.03912504536753311,-0.00986945749199477,0.061493935119701616,-0.04354067074258193,-0.027005970124663537,-0.017647594285832853,0.06325602847199191
2002-11,0.06209880476389238,0.11951656205829625,-0.28414602262801364,0.09128769947216471,0.07421984393454553,0.061689341435518893,-0.18792159271427591
2002-12,0.05083295827922178,0.03485247687470209,0.05884212069265753,0.027739937090078035,0.03617158863230601,0.05929534725681761,0.01978228629008766
2003-01,-0.0359321530724152,-0.044729295418172776,0.028440506016803507,-0.0956086610410333,-0.0213164366251747,-0.027526248100898012,0.066227536014677
2003-02,-0.015175425886639237,0.039904419556176005,0.019500082113721902,-0.01444473100304377,0.01923980651531019,0.025031969665409,0.03707610433440696
2003-03,-0.10027923572323093,-0.05699044330040226,-0.05636533626391282,-0.15569628398426424,-0.0873612066067262,-0.08801218306617296,0.05579900018870469
2003-04,-0.06851438248154104,-0.017096179039258867,0.03206854141439443,0.0666700140145776,0.05556701588788797,0.09343896565368161,0.06367593776751973
2003-05,0.06938112533801291,0.13569629007078954,0.12656699133828378,0.18349126593976603,0.20901672043140002,0.2146579973720796,0.04417629871629222
2003-06,0.1529770643480104,0.11377060062956541,0.11363102736362746,0.1345714901158681,0.1210030569457259,0.1266104379656395,-0.02365354456730577
2003-07,0.05569554951326318,0.06528092743860835,0.03711435943980075,0.021580168773240135,0.10967811205664975,0.08811728691306053,0.023977964033178978
2003-08,0.06909925927525697,0.13804330780286958,0.22244996297138597,0.09676538352977677,0.11497348914729758,0.1303034923348021,0.09344440625057716
2003-09,0.049271957322379926,0.027493253467316955,0.05128343534266269,0.010695838130916142,0.0487687365443302,0.0750835590725342,0.03319959948095041
2003-10,0.13725808517779478,0.04162094640394489,0.08725368419819174,0.0007318047641690412,0.07892800483533925,0.0918789697266529,0.0205713819914404
2003-11,0.06532284138860396,0.02811154592677783,0.02445323350204193,0.15302012360593642,0.160893888292398,0.09789837155906077,-0.047995679966718836
2003-12,0.13479524948643387,0.1906309860283492,0.20279024034201246,0.2650584341321557,0.2296406681463382,0.2245867731381394,0.013761664930781181
2004-01,-0.05159227962913027,-0.03627251453600939,-0.017557333859135216,-0.13345900022940574,-0.07357195450799912,-0.0973358470358876,0.035079049481756594
