formation_sep_year,at_p30,at_p70
2001,0.6585055121690637,1.1242331297464325
2002,0.6461777389397584,1.1494498615603896
2003,0.6729222520107238,1.164804469273743
2004,0.708787431862046,1.2550666039265397
2005,0.705241021088403,1.287388200711202
2006,0.664514580378863,1.2320788685886497
2007,0.6158301789993599,1.1979293064209349
2008,0.5626062796184256,1.1679417162314547
2009,0.5290973120647515,1.1949465767076881
2010,0.5192721152121648,1.1417718998097535
2011,0.5158968774413484,1.1801747990086027
2012,0.5212859580796121,1.1638337569781565
2013,0.5100792110209952,1.1639172597644962
2014,0.511775850556737,1.1847491901592697
2015,0.5147287156737841,1.211699435182998
2016,0.5188152611103174,1.2001115290134623
2017,0.5057858514978494,1.1242037340466082
2018,0.4884036657536511,1.1072105938222587
2019,0.519040943256661,1.1490601437840782
2020,0.4910859138979724,1.05691916165105
2021,0.39746470147208496,0.972645011001876
2022,0.46835654729197035,1.1364413409439922
2023,0.5000103527526819,1.1964869049656945
2024,0.48639492931215134,1.1233395647642828
2025,0.584615508419029,1.0739677328590578
