Month,BH,BL,BN,SH,SL,SN,HML_SG
2002-10,0.031525820925635724,0.02400207029084889,0.021269838583686255,-0.034830815852897684,-0.024877452186189915,-0.018310173131789783,-0.0012148065159604676
2002-11,0.12483575424590201,0.0363407492435906,0.051573673119556906,0.049146131346755904,0.1026646487989832,0.06440921243986687,0.017488243775042073
2002-12,0.04366823647028778,0.12350055260660225,0.015858136548611554,0.04963722769733321,0.0314647934552431,0.0399812585909623,-0.030829940947112187
2003-01,-0.057991372223649224,-0.01132883997869041,-0.010168715527264774,-0.06264308566914718,-0.07081025957379433,-0.024468971319138014,-0.01924767917015583
2003-02,0.021244786290659717,0.050475633200034356,0.024729779642596466,0.012003502241163906,0.032126372910209026,-0.006333774809370332,-0.024676858789209877
2003-03,-0.055826691882382665,-0.04875962165172907,-0.09466771466663768,-0.1231058348926709,-0.1351335648322844,-0.1059578982015302,0.0024803298544799485
2003-04,-0.08944564073752771,0.026616359157848556,-0.009165594745437388,0.06958278298492321,0.05979748117674016,0.05976751401944378,-0.05313834904359661
2003-05,0.06478264461693369,0.2688608221493381,0.1715517253109509,0.18431732414565055,0.23567517653268932,0.1622807181412583,-0.12771801495972163
2003-06,0.12026025043131104,0.14799926235934183,0.08566791763320923,0.17983521267831826,0.0976230136420332,0.14354806296616796,0.027236593554127136
2003-07,0.09508117580755356,0.00649929164230426,0.01912532705825942,0.07204795584094592,0.06543031707932478,0.06816843924424863,0.04759976146343521
2003-08,0.1313318517354737,0.2997783397152699,0.20019703363341815,0.11700772698060435,0.09557554292927255,0.14440620411606478,-0.0735071519642322
2003-09,0.09303017510759885,0.012029568679925629,0.04450401445977477,0.05798980875445395,0.02733755810651815,0.05081742946739661,0.05582642853780451
2003-10,0.05702498780712814,0.0006303805374315772,0.07700807664355845,0.02178127743429045,0.025080669957434923,0.057556503436253736,0.026547607373276046
2003-11,0.030745085290793797,0.10134542487922277,0.05068551955892889,0.1260444798614546,0.1256572976561147,0.14068082553375,-0.03510657869154453
2003-12,0.19959239184219696,0.12755576095295176,0.1899984246844509,0.2597798325351388,0.19966759750188884,0.21535876950741503,0.06607443296124757
2004-01,-0.06818321431456457,-0.046354142726094026,-0.03184609862836414,-0.1090071954427827,-0.12104282680434188,-0.12530404862262048,-0.0048967201134556965
2004-02,-0.0010414941320655631,-0.05191349144209742,0.003175973614957076,-0.042606111594456625,-0.03931956779978006,-0.04162614309607334,0.023792726757677646
2004-03,0.037649065589729976,-0.0967283383258579,0.006798947034121469,-0.042648893549691286,-0.052567863225892,-0.025375916975746336,0.07214818679589428
2004-04,0.006983127949308862,-0.032148255846348894,0.02918626086952814,0.0815884688566944,0.0785469749329873,0.07911486994585412,0.02108643885968242
2004-05,-0.17403536046884313,-0.05613051112339742,-0.19375915195555907,-0.159488567788324,-0.12153455424826008,-0.12810937387285326,-0.07792943144275483
2004-06,0.012174305461089403,0.007051351525122381,0.0363957803545318,0.03744402855723654,0.012586344238662782,-0.00421009447893117,0.014990319127270387
2004-07,0.12769902519539106,-0.00466213407179913,0.07399937580105209,0.11485650015434519,0.07696470303597198,0.09414794462013419,0.08512647819278168
2004-08,0.004140344489434686,-0.022440076239404402,0.026929191338268838,0.10967956372888464,0.09587286866374983,0.10736181286424631,0.02019355789698695
2004-09,0.08463142014127203,0.1289422056693536,0.07096499369267947,0.10025148503233479,0.06856016687229816,0.07081087832131132,-0.006309733684022462
2004-10,0.055309993965586994,0.030047567538455895,0.0006683678619959965,0.05489195827883293,0.029290860678806232,0.010405615929270879,0.0254317620135789
2004-11,0.12105017980688772,0.07462887776545475,0.060902886223545394,0.124413644573071,0.14598866943246558,0.1303604499407816,0.012423138591019206
2004-12,0.07778340758111019,0.03471910351883191,0.09530213859146182,0.12734724121705168,0.13981106133060187,0.0959983664293632,0.01530024197436404
2005-01,-0.003150304151284256,0.009739483283904008,-0.041729725088591844,-0.004596480487952845,-0.019137988518719104,-0.008758500323159363,0.0008258602977889978
2005-02,0.024113296150353267,0.016494111897995302,0.03330280898409331,0.056379085338971166,0.04972026731992184,0.061101104029189876,0.007139001135703642
2005-03,-0.051735306537398294,-0.022859868502958985,-0.041760926420409045,-0.002439288970362612,-0.00898611885049153,-0.007409281224554402,-0.011164304077155199
2005-04,-0.0574148855116569,-0.03514138351242643,-0.036323936865030645,0.01951798499410309,0.03684315464360805,0.01869544768145912,-0.019799335824367718
2005-05,0.10836945362099015,0.09681299781382806,0.06519935633354794,0.09142430332836611,0.10181152048801491,0.10583535201211657,0.000584619323756641
2005-06,0.040834239839022686,0.10695642415976774,0.029620571665783964,0.0007489354680430383,0.01213040255445318,0.002693906713792789,-0.03875182570357759
2005-07,0.06479981944023773,0.014045021109036517,0.0567857562429941,0.11308626328092773,0.11220011001918569,0.10001099577070917,0.025820475796471634
2005-08,0.05730583353910222,0.04330275357839655,0.05166252452140734,0.14124005129410597,0.15816762593635544,0.13214220566120077,-0.0014622473407719105
