formation_sep_year,inv_p30,inv_p70
2003,0.013773325626740388,0.14878061659047448
2004,-6.869479882238938e-05,0.15525214083564573
2005,0.00962134842420966,0.18237251397981477
2006,0.041388138919828704,0.24228741577954757
2007,0.080580412404351,0.35251747729366273
2008,0.1049067522795679,0.4035207729499772
2009,0.12079582291121113,0.3911753949016414
2010,0.01963534361851344,0.22598750867683715
2011,0.0459845147852165,0.23818626165492618
2012,0.07012316129792306,0.27067669172932346
2013,0.058282956011722425,0.2176276657256059
2014,0.02897069664504933,0.17515109609171375
2015,0.016945189011352828,0.1436045434837228
2016,0.0009546430925487505,0.12376856951024003
2017,-0.0021816051229287927,0.1345581485765788
2018,0.02085998049077448,0.17691972549795507
2019,0.035346938775510164,0.18810939357907258
2020,0.01794851609855936,0.14760673952445805
2021,-0.02261423926508506,0.09933340163457109
2022,0.0024377277021034633,0.15248419394873708
2023,0.03505798292221978,0.20513210992615322
2024,0.01964901453834784,0.18776868899457066
2025,0.042544754330149655,0.23104492187541684
