Month,BA,BC,BN,SA,SC,SN,CMA
2003-10,0.07148666138045286,0.13404651779774715,0.07550392840912798,0.052775895142830966,0.03936060291797009,0.04382611562822077,0.024572282096216702
2003-11,0.024733015565720058,0.04378499218155526,0.040380863520388395,0.10620829435009303,0.1513954912402225,0.110507697041054,0.032119586752982335
2003-12,0.19482409310371981,0.18023742300497006,0.19726114314791984,0.26613165382688186,0.19073057782023908,0.22251332526661322,-0.04499387305269628
2004-01,-0.03502505594969886,-0.017888387336511602,-0.016012592777869795,-0.09450610157310546,-0.14068235938681806,-0.09227617298027796,-0.014519794600262675
2004-02,-0.008346311355273292,0.032084747797654585,-0.001658957349406532,-0.01472906871375993,-0.06526121815522529,-0.043647616739769954,-0.005050545144268739
2004-03,0.03569942745415379,-0.02928466515369607,0.03590699299919173,-0.029010440086632134,-0.048425349384970465,-0.027117062092231498,-0.0421995009530941
2004-04,0.025866555368980252,-0.016809457709280773,0.04341557034294734,0.05732055979666783,0.0928996069589391,0.08620442560132183,-0.0035484829579948765
2004-05,-0.16791660228783,-0.21217840030416785,-0.2623912041139399,-0.1567537810250035,-0.14917658785172186,-0.1492566346568259,-0.018342302421528123
2004-06,0.012300849266654382,0.05600684091821618,0.055885798188165206,0.014002972738461425,0.0004040218314074779,-0.0037820745572056088,0.015053520372253923
2004-07,0.09385072032172449,0.11843948281326368,0.07952446856304361,0.0796486501222969,0.11297802297898592,0.08508697867786733,0.028959067674114103
2004-08,-0.00012865507298196995,0.01597832778839057,0.021254019890637497,0.06864750412744189,0.10220852254939522,0.08578597266023028,0.024834000641662933
2004-09,0.07700257865450397,0.05848583985590591,0.08269731388726458,0.09414700829348079,0.06624665093708185,0.0827290834756174,-0.023208548077498503
2004-10,0.029550741284344182,0.04181055369193186,0.0018336862040283805,0.0240191444810691,0.020694025185320843,0.027547267937586845,0.00446734655591971
2004-11,0.1068789649076888,0.10023928187890886,0.08343632068738185,0.12125529067271379,0.14068661998805898,0.13990015192691524,0.006395823143282617
2004-12,0.04864594973969901,0.177011956935614,0.10589401609535605,0.13301199877414016,0.14188709952614717,0.12398012744094146,0.06862055397396101
2005-01,-0.0194247989661578,0.020136200855177623,-0.024903669817898003,-0.018477639388252493,-0.004659070857923288,-0.01156690074206013,0.02668978417583231
2005-02,0.030722527329579044,0.015436170764218873,0.04071975036526745,0.03359551179764818,0.10020857492701025,0.040544323400175164,0.02566335328200095
2005-03,-0.010619761670200812,-0.061212043686884196,-0.05656947573716979,-0.006138383005282118,-0.013457433738457368,-0.009606337664617234,-0.028955666374929318
2005-04,-0.04985522797978087,-0.03829100989425638,-0.0513911416796914,0.011990679811861065,0.0194396020755256,0.026931364717557967,0.009506570174594511
2005-05,0.10985636998010911,0.0660660735694176,0.07111270557146304,0.0824764008126086,0.11455551354349042,0.10153439478563095,-0.005855591839904847
2005-06,0.0679460179491888,0.03657121212586195,0.04250577749318471,0.0017769062734371574,0.0174447930645254,0.0007240397995039869,-0.0078534595161193
2005-07,0.014512106475934494,0.1683698304301731,0.0985272845491667,0.09781279912688114,0.11977089726187742,0.11047307202855354,0.08790791104461744
2005-08,0.03428992771307121,0.10135518099769383,0.02037171416736512,0.1334795757652218,0.14066262577252478,0.13159829870849182,0.037124151645962805
