formation_sep_year,sg_p30,sg_p70
2002,-0.047980153740263605,0.13726803952600566
2003,0.022009168055118974,0.2005390814736011
2004,0.06508462272173303,0.260331262151647
2005,0.07944895375965812,0.31504289256738444
2006,0.06450598688400525,0.3111473549256183
2007,0.12293372049630029,0.3810575590436943
2008,0.07304307119069368,0.32985846098360955
2009,0.020139104130798773,0.2471741709415615
2010,-0.02406343534824481,0.21227692227580425
2011,0.09049299277897116,0.32796850728348914
2012,0.04430019252188068,0.25594334545673886
2013,0.013866996445198183,0.19487932681366923
2014,-0.018683339349886086,0.16793963272798723
2015,-0.017363261751355344,0.14504999795722168
2016,-0.04788200208189065,0.12022645787786021
2017,-0.02748165592992575,0.12500620806309848
2018,-0.007673320189607753,0.1621162536702872
2019,0.02537049159541639,0.19680235015905642
2020,-0.10855628944206547,0.0661057625487231
2021,-0.15940965976124058,0.08101390295100436
2022,0.1411540702303989,0.47196383424026783
2023,0.032777168769077734,0.30320635536903123
2024,-0.02228936549606221,0.17822077681493523
2025,-0.08876501996878208,0.10764890076595254
