formation_sep_year,op_p30,op_p70
2002,0.3021533485473974,0.7038233999456501
2003,0.375003878687285,0.8622179940673445
2004,0.41550523905167447,0.9515852052911487
2005,0.4136165923405476,1.0223188273732555
2006,0.45004596205270964,1.0672846726591143
2007,0.4135160785656119,1.020548011214298
2008,0.3272340011716856,0.8889800858847617
2009,0.2583786753583151,0.7167443628730292
2010,0.2615166279739287,0.6788693080091711
2011,0.2617411628356191,0.7087270294596892
2012,0.206747343750876,0.6120739656480991
2013,0.20716391536203316,0.6268649986566225
2014,0.20591660624771604,0.6043000780201679
2015,0.18345996519127192,0.6004341911636171
2016,0.20804536405848295,0.6022064750746494
2017,0.20171073879693152,0.6166132478632478
2018,0.16620199823100487,0.4762339064476437
2019,0.17801016255390184,0.4566148090884514
2020,0.14462880548508975,0.3799616383108756
2021,0.1127916325540422,0.3656197242588205
2022,0.1566050516038611,0.4347356050900076
2023,0.15392515217122857,0.42484230736603895
2024,0.15957095992997689,0.4304925868995347
2025,0.054377247060685835,0.29061277730788293
