formation_sep_year,bm_p30,bm_p70
2000,0.3946615932998018,1.694170768543047
2001,0.890456038320019,2.345630911469544
2002,0.7671861804497789,2.1605910195154423
2003,0.9814312864772989,2.5422612545876717
2004,0.608668683134387,1.5572968621509242
2005,0.423569336566583,1.0370636213980016
2006,0.28934464016017514,0.7633091657917471
2007,0.38002334307059743,0.9463500268169027
2008,0.40968133326664846,0.9973264497631629
2009,0.9393012801212206,2.1992596371989612
2010,0.4577906551909647,1.0989283174144733
2011,0.48471705204960297,1.1959172267754767
2012,0.5559543376574212,1.4999903588680665
2013,0.5324417943608933,1.6450150899212816
2014,0.5163353959277122,1.6221103076931216
2015,0.35062248099676907,1.2546053112913147
2016,0.36493789674790555,1.093998961448999
2017,0.29254153747406153,0.8152753623686151
2018,0.2849066867973137,0.7883891312253755
2019,0.3629757605667202,1.0321520586007789
2020,0.6514558605627925,2.0341234654599796
2021,0.38193044528664427,1.124341242792503
2022,0.26921432692716046,0.8197107173956962
2023,0.2944641246975083,0.9069358195831672
2024,0.21486844751730422,0.6130860456886876
2025,0.2377314520579072,0.6737639049224511
