formation_sep_year,acc_p30,acc_p70
2002,-0.02985744645344518,0.036938363055485854
2003,0.009148766905330155,0.05728395061728394
2004,0.016235226842519712,0.0688029284766999
2005,0.01757019813991082,0.07362637666343626
2006,0.030886850300172432,0.11334195918544655
2007,0.0309833672793749,0.11811190774511279
2008,0.027637408292483952,0.11958287877033699
2009,0.01107419712070875,0.06945145641723556
2010,0.01965532022617321,0.08073411397948393
2011,0.02187609380469023,0.0842317380352645
2012,0.011456574788435515,0.06433391919008218
2013,0.011515383638600444,0.058094299891136805
2014,0.0067282754425605626,0.051575047008952546
2015,0.005827455714426869,0.05124669082660448
2016,0.009275467294074894,0.062407921353155156
2017,0.014768966785145252,0.08220596617898539
2018,0.014357327840797254,0.07333635129017653
2019,0.013422525988967168,0.06826287893523121
2020,0.003153208761798504,0.04979604692948003
2021,0.012473323890778536,0.07324325773176622
2022,0.020014372728439513,0.0899544501268113
2023,0.020195437764563402,0.08761141457380965
2024,0.024625180420800936,0.11636978140490777
2025,0.026117700925196864,0.11676694825263866
