Month,BH,BL,BN,SH,SL,SN,BAV,BAV_big,BAV_small
2000-11,,,0.07859983812820762,,,0.10092837796415433,,,
2000-12,,,-0.01347956676818823,,,0.0034217054633264503,,,
2001-01,,,0.09283067121598795,,,0.008506668103114436,,,
2001-02,,,-0.03026627193612529,,,-0.026436640486230914,,,
2001-03,,,-0.1988581251579966,,,-0.24391582456808344,,,
2001-04,,,-0.004091591558985852,,,-0.04563862947818724,,,
2001-05,,,0.06135318320617749,,,0.11534959149075044,,,
2001-06,,,-0.06363750296822976,,,-0.13306836988250956,,,
2001-07,,,-0.03292460769746899,,,-0.0672105457177066,,,
2001-08,,,-0.012127607158844908,,,0.018128564661644732,,,
2001-09,,,-0.14338183023310533,,,-0.09910692244279218,,,
2001-10,,,0.057027327363437595,,,0.08871967478779896,,,
2001-11,0.3742145781511182,0.03938600323245956,0.14146295129386802,0.2975246485502432,0.0998254079033147,0.1568918448875583,-0.2662639077827935,-0.33482857491865864,-0.19769924064692848
2001-12,0.08873690067137552,-0.012102901837324957,-0.01707707461081537,0.05530381381102146,-0.03691160143261342,-0.028564736627684204,-0.09652760887616768,-0.10083980250870048,-0.09221541524363489
2002-01,0.005561736056133854,0.031110192170821806,0.033571240478731994,0.060137220582451544,0.009470686948424853,0.04040683036535394,-0.012559038759669367,0.02554845611468795,-0.05066653363402669
2002-02,0.024275898178146547,0.14774169010853194,0.029291716475531904,0.01364641022664538,0.0793607222003066,0.0757628421477098,0.0945900519520233,0.1234657919303854,0.06571431197366122
2002-03,0.06321414599775423,0.01579496696117947,-0.00040877304844178034,0.09319338362471115,0.06847372636425311,0.07558616348312874,-0.0360694181485164,-0.047419179036574756,-0.024719657260458036
2002-04,-0.0498658656113557,-0.03759425828249402,0.08298611113727684,0.12324651907263531,0.09340624832520543,0.11593002268962498,-0.008784331709284103,0.012271607328861678,-0.029840270747429884
2002-05,-0.07616753309506598,-0.05463034712334501,-0.05099243596528405,-0.09594888628412507,-0.030612912045297307,-0.048456758333274015,0.04343658010527436,0.021537185971720968,0.06533597423882775
2002-06,-0.01872548349129145,0.036346994339993825,0.016941944310580485,0.08346822687051904,0.113318161358255,0.15295295428320224,0.042461206159510614,0.05507247783128527,0.029849934487735957
2002-07,-0.11027036682426192,-0.05895483030908909,-0.06423638545540972,-0.2137390815892698,-0.04549949956463663,-0.11494231672197354,0.10977755926990301,0.05131553651517283,0.16823958202463318
2002-08,0.030328885566262336,0.06326071850962296,0.06322374285181685,0.04548351099734801,0.005773561165068155,0.022822746241353557,-0.0033890584444596153,0.03293183294336063,-0.03970994983227985
2002-09,-0.0786164415269437,-0.04444540062931074,-0.07170537956258337,-0.06358983403929816,-0.030562387696811983,-0.04690342783040765,0.03359924362005958,0.03417104089763297,0.03302744634248618
2002-10,-0.08682204920177711,-0.03345769995043583,0.042372652232945424,-0.032884153722240544,-0.03132452078592892,-0.0211161442937999,0.02746199109382645,0.05336434925134128,0.0015596329363116238
2002-11,0.0017257211752777807,0.05931474920687856,-0.15932362083461055,0.13996555818782258,0.03694248187630197,0.06826362579543031,-0.022717024139959914,0.057589028031600785,-0.1030230763115206
2002-12,0.23511038128900785,0.058729734939323035,0.03162842398754585,0.050940134459730224,0.03039305287734973,0.046024506104217794,-0.09846386396603266,-0.1763806463496848,-0.020547081582380493
2003-01,0.00941981178202178,-0.018900124939670013,-0.02675824297651811,-0.11332424676851706,0.0038782511118204306,-0.03806015066656452,0.044441280579322846,-0.028319936721691794,0.11720249788033749
2003-02,0.03990501829618606,0.02932522630794531,0.012114291012232726,-0.0022894062992793534,0.011178928858047927,0.02282063809516697,0.001444271584543265,-0.010579791988240751,0.013468335157327281
2003-03,-0.08104025164733239,-0.060867662347872026,-0.08729838224816168,-0.15868609937259562,-0.0712542796749736,-0.10457912992200302,0.0538022044985412,0.020172589299460364,0.08743181969762202
2003-04,0.008779957632986607,0.019973137466547605,-0.07003426663885277,0.08363511181056024,0.06172902991150899,0.07386383565541402,-0.005356451032745131,0.011193179833560997,-0.02190608189905125
2003-05,0.09018550922997787,0.17023416359645097,0.0828227005193941,0.2076582172517582,0.17802469598304693,0.22551937998309532,0.0252075665488809,0.0800486543664731,-0.02963352126871127
2003-06,0.09652888120862427,0.09008966421657742,0.15039217572275007,0.15482454856423444,0.0799217632845406,0.14898571244254916,-0.04067100113587033,-0.006439216992046845,-0.07490278527969384
2003-07,0.1966298965543369,0.058652729376755634,0.044937344351209184,0.07284343424600444,0.1120568309547472,0.07639879153722513,-0.04938188523441926,-0.13797716717758127,0.039213396708742757
2003-08,0.1896844379412705,0.12744536292335373,0.14662535488544448,0.13525707537338255,0.10767446039394699,0.11645699376149467,-0.04491084499867616,-0.062239075017916756,-0.027582614979435566
2003-09,0.013597788235268212,0.04383065436235166,0.03219047301646394,0.06039565758559405,0.043246803207967886,0.05421385510081499,0.00654200587472864,0.030232866127083445,-0.017148854377626165
2003-10,0.07111896490738376,0.08849166996472918,0.04878035482374078,0.015873785782346116,0.07888957178725645,0.09005784328347127,0.040194245531127874,0.017372705057345422,0.06301578600491033
2003-11,0.11781672816980104,0.023282413157652518,0.04045402002573595,0.1296988803852959,0.1276543676581906,0.13833625458678028,-0.048289413869626915,-0.09453431501214853,-0.002044512727105291
