Month,BH,BL,BN,SH,SL,SN,STR
2000-11,,,0.07859983812820762,,,0.10092837796415433,
2000-12,0.010068004323626466,0.022114098343701122,-0.04780444144615613,0.034466160924177605,-0.07324846578632854,0.027563396976053034,-0.047834266345215745
2001-01,0.10254691321204557,0.10370850744381395,0.08734088016044218,0.04096016014098692,-0.028797345246118822,0.002401114017088166,-0.034297955577668675
2001-02,0.03461555374126956,-0.10387621330292389,-0.06592639144674588,0.012971034743610638,-0.08356805861571999,-0.026695727276415688,-0.11751543020176204
2001-03,-0.23150243509150215,-0.20450859482433242,-0.12384959398852713,-0.27385718667154,-0.26786319552629945,-0.20997144934519374,0.016493915706205148
2001-04,-0.02141993821283379,-0.0026331777898391273,0.019887597312266164,-0.039888366470004696,-0.06555881169214943,-0.03726065536041812,-0.0034418423995750333
2001-05,0.036648646236815324,0.10419148352888752,0.08348780396108751,0.04882251995870302,0.19059501917851693,0.113478468509226,0.10465766825594307
2001-06,-0.0739193614447879,-0.04531674682779787,-0.05770816963540836,-0.1375081416050117,-0.1525996171649545,-0.11633303936012468,0.006755569528523631
2001-07,-0.04078287749918725,0.017956781645968187,-0.06410465212062691,-0.08454370016340214,-0.07625106042381324,-0.05195599808039311,0.03351614944237217
2001-08,-0.003336737513607613,0.007555706072216937,-0.02876381505993908,0.018207253337801727,0.019460371044649708,0.017052208828225935,0.006072780646336265
2001-09,-0.11167926203928569,-0.17464406470635768,-0.16900227391929676,-0.06529733930832657,-0.20663300205547117,-0.08334876459920525,-0.10215023270710828
2001-10,0.08516076637243389,0.0955751455315813,0.03158556388629999,0.07837667028097506,0.08684231250931261,0.09465649546821034,0.009440010693742479
2001-11,0.05032960732848761,0.2455116049439807,0.04304619831766928,0.11098655985300845,0.3176988236627583,0.16277692043290032,0.20094713071262146
2001-12,0.020089687155447938,-0.02594305059879844,0.006412694560765284,0.037442182535587794,-0.029743080764891166,-0.026747304066714914,-0.05660900052736267
2002-01,0.005042202670056296,0.015758778982983435,0.05008799014586763,0.04281387744056755,0.03323875900378268,0.03749400158300845,0.0005707289380711376
2002-02,0.05285798756089183,0.11862387346078915,0.17807897535453493,0.019265764275318856,0.11692215061920665,0.0653597215446994,0.08171113612189257
2002-03,0.059049785281156224,-0.03197967559202861,0.001075964923334432,0.12027717721059315,0.10234188611700033,0.03847948245064932,-0.05448237598338883
2002-04,0.030601220710666118,0.0020773198740773346,-0.04482992229863975,0.13220579932628926,0.1112026170974169,0.09443839106680832,-0.024763541532730575
2002-05,-0.051690511331136016,-0.05470007498833935,-0.057484252867169794,-0.09329863609027189,-0.04039619705614393,-0.032079511745086664,0.024946437688462303
2002-06,0.01844565047436612,0.02649654153999775,0.02201179928745409,0.13052079668047487,0.12962062903362614,0.11619870524893845,0.0035753617093914614
2002-07,-0.03740536605887226,-0.03206660188761972,-0.07667756417941632,-0.09925710502464805,-0.14332180118839313,-0.11128196480927244,-0.019362965996246276
2002-08,0.026052229841568426,0.07280076979503113,0.0525941021717894,0.010320016511358618,0.03921769274196821,0.02058865034560201,0.037823108092036144
2002-09,-0.07973030797329492,0.038833795162902834,-0.05259913986910377,-0.028901212505050785,-0.06717616901907138,-0.045387201679906536,0.04014457331108858
2002-10,0.010296487958473564,0.0071964719535509755,-0.04144120847354771,-0.040385206963232195,-0.027943987588849396,-0.01840179504527156,0.004670601684730106
2002-11,0.09355628953499572,0.06677755403051082,-0.16725365766159267,0.04160768636033415,0.1076390623176231,0.0832433615138235,0.01962632022640204
2002-12,0.054445123290774,0.02683681656311576,0.04659108581687892,0.055898110676780854,0.04159593087237341,0.028819837846822776,-0.02095524326603284
2003-01,-0.08950794514120894,0.0466830199018692,-0.01068452484197019,-0.10257207496422575,-0.0232324859160011,-0.009969115286183277,0.10776527704565139
2003-02,0.025963290573914846,0.002254890225455544,0.0225679994631599,0.025038267699665506,-0.010929845818295567,0.015855087442573915,-0.02983825693321019
2003-03,-0.055697783884262116,-0.1517034527642716,-0.0636240767783908,-0.07167379301200531,-0.19091752975356918,-0.09080385333700573,-0.10762470281078668
2003-04,-0.022932828217648343,0.009184309276080233,-0.020675163421941607,0.0656947228169933,0.11356310846081082,0.05519620791030857,0.039992761568773044
2003-05,0.1108142487200098,0.05102120252735875,0.17358965968386827,0.15147304767864717,0.1993534183649503,0.2386213037185468,-0.005956337753173974
2003-06,0.09672199699604227,0.1414639171107996,0.08538817834478567,0.14903380028474403,0.1356482710290841,0.10722964904624893,0.015678195429548708
2003-07,0.006982427512182774,0.04270949577120109,0.06933632277839051,0.08143744316573477,0.08605261517534066,0.09287542722868916,0.020171120134312104
2003-08,0.15528463368735268,0.24580109075219705,0.11840379924013124,0.1484123935642567,0.10407309600227097,0.10971642538934175,0.023088579751429306
2003-09,0.06786060833306178,-0.0007153806904172214,0.04097604829818395,0.034193129379569996,0.06555428234459508,0.0636286775774642,-0.018607418029226955
2003-10,0.0499192596207943,0.14882902909870083,0.07840865021594147,0.06953371734115954,0.07843632039873884,0.06747730182133838,0.053906186267742906
2003-11,0.030045112731031425,0.11835360403250302,0.027676256188748548,0.11462647145365673,0.15801080851470242,0.13817475502912985,0.06584641418125865
2003-12,0.20265364534562824,0.2267340082752912,0.13446207857391895,0.20346844382157742,0.2354556271596744,0.25538940729012555,0.028033773133879974
2004-01,-0.11766924440910187,-0.02487958816186587,-0.049145768421875055,-0.12369308184234155,-0.06943504973885689,-0.10592024895730122,0.07352384417536034
2004-02,-0.06890140309391644,-0.006233211407020135,-0.0010240682230898575,-0.0004789611636626197,-0.053770407798032334,-0.03785374654301246,0.0046883725262633
2004-03,0.040889685415338196,-0.02968418973562992,-0.05522184929037024,-0.0025565469026169086,-0.039553051526957456,-0.03074183844600055,-0.05378518988765433
2004-04,0.010784673970278146,0.013708973050458236,0.05066317322928458,0.08365477865451361,0.09898359714063701,0.08012653197263397,0.009126558783151745
2004-05,-0.256056711086026,-0.07504667584118103,-0.12009174332078798,-0.1711017762649721,-0.1159288110681699,-0.12330984114442126,0.1180915002208236
2004-06,0.015117298259185607,0.020442372152047278,0.02471707919495486,0.010523970285654317,0.023049835607833337,0.008625058728663386,0.008925469607520345
2004-07,0.03861781447824155,0.0966798274023516,0.09405717855144397,0.0785793510299922,0.11687548112030986,0.07654715272270726,0.04817907150721386
2004-08,0.014059920884376407,-0.0038630303542376686,0.009832847644546651,0.0997373407044665,0.08553052786147781,0.08910482360424876,-0.016064882040801386
