Month,BA,BC,BN,SA,SC,SN,HML_ACC
2002-10,0.009691406671635993,0.036076788964617225,0.02698051975070887,-0.048334687773424284,-0.011365897879914265,-0.020460148701724468,0.03167708609324563
2002-11,0.12120067762737817,0.061067195926459136,0.021311559387047634,0.07407031574175105,0.07378754203436969,0.06264045458354932,-0.03020812770415021
2002-12,0.028465163463640048,0.130609197519386,0.043272601995132276,0.04674736268304491,0.031601119345582844,0.05818696652225243,0.04349889535914194
2003-01,-0.05764323449433278,-0.033881780210586916,0.033010042487717536,-0.06372062289369292,-0.03987291854455481,-0.02316817086430762,0.023804579316441976
2003-02,0.027148589601124637,0.052949709021144986,0.018564907234741117,0.012247258482769134,0.016696353244249822,0.018972432333261915,0.01512510709075052
2003-03,-0.07409758721126466,-0.10446938532315114,-0.05647955384514431,-0.11472311854364703,-0.11914797007532357,-0.1120280159508465,-0.01739832482178151
2003-04,-0.08814715272825918,0.05689883729535152,0.03197084402723546,0.03882833842824493,0.06470689626764928,0.09071992965749012,0.08546227393150753
2003-05,0.051795966527262,0.16075225063684662,0.2649655491544218,0.12731665534198766,0.22765776804157276,0.23749144839128447,0.10464869840458488
2003-06,0.11300945270692661,0.181288647418649,0.07351255013383762,0.105941396996055,0.1365409998320166,0.12651376009753207,0.049439398773841986
2003-07,0.07588975866962526,0.035426788116113515,0.03986657043485866,0.0653430036496687,0.059027983553853206,0.11116898638996627,-0.023388995324663625
2003-08,0.14412976794969512,0.18251193946028765,0.2176701378768995,0.12855867900568485,0.11399415557877189,0.09620771182189392,0.011908824041839794
2003-09,0.09604692275627413,-0.017080811637948185,0.038710558200191175,0.07372571687750115,0.002671778367811833,0.04369570298158401,-0.09209083645195582
2003-10,0.031024173830238488,0.17421811581273883,0.1070454550996578,0.015387631606796456,0.046956938643591135,0.06655244917666789,0.08738162450964751
2003-11,0.05844595015388669,-0.024433570319386276,0.031311517822816735,0.10924659709232892,0.11917651823595887,0.12566938195651062,-0.03647479966482152
2003-12,0.1912116118050235,0.1751020270869806,0.18813283730189814,0.2609138023171119,0.20745925344737667,0.2028940295109145,-0.034782066793889066
2004-01,-0.06160452649021513,0.0255430220242892,-0.008038697459311435,-0.11766401198483695,-0.10827722542989728,-0.09894014055303635,0.048267167534722
2004-02,-0.021295676232409404,0.009750482206999821,0.017468235111514754,-0.024318166331415893,-0.05458464225651645,-0.047941172958194514,0.00038984125715433443
2004-03,0.02465467246988233,-0.004835087594808979,0.020463417570145234,-0.038770218089246106,-0.044001537954058804,-0.015793921742320405,-0.017360539964752005
2004-04,0.02415690011363191,0.055131937428419334,0.012108718257374444,0.05714639255306079,0.12222671249917698,0.07883913152522719,0.048027678630451806
2004-05,-0.16434464782722566,-0.22784807206027075,-0.20459258036198866,-0.1261354216071965,-0.1561934829684622,-0.16185435353983754,-0.046780742797155384
2004-06,0.021895948101856817,0.012168543366495352,0.02960597656023937,0.016643349546175627,0.004723178339414573,0.005549741527814584,-0.01082378797106126
2004-07,0.07527961640619153,0.1356971635345277,0.06513932199087011,0.09079669922369597,0.08112388825584652,0.0954497630986406,0.02537236808024336
2004-08,0.01661557253676457,-0.0002800671261256598,0.00218529378646588,0.07771821565035,0.08239073399099585,0.09989223349551037,-0.006111560661122194
2004-09,0.08172494042451472,0.07719219190341008,0.07852152997738712,0.10021710467352661,0.08192361582244467,0.06214603406915927,-0.011413118686093293
2004-10,0.01312859030876339,0.008947567015986764,0.027739402321379194,0.02033067002627262,0.02262221916030428,0.029075507243355374,-0.0009447370793724853
2004-11,0.09226562968856308,0.18715587642125678,0.05341770947241353,0.10894008623447893,0.16861550320146299,0.1386579533078096,0.07728283184983888
2004-12,0.07878758828515132,0.12833242653570093,0.06793549293107821,0.10207929434191357,0.19304655252303277,0.12120771813311122,0.0702560482158344
2005-01,-0.021858133035111915,0.01846610806565833,-0.03647337751896413,-0.013311295222580543,-0.019636105973263256,-0.007161485276599978,0.01699971517504377
2005-02,0.026183243997663454,0.03017716078794072,0.041852175725646756,0.044787753758840934,0.033248870890173,0.06866519934545189,-0.0037724830391953346
2005-03,-0.028477294710079464,-0.04337500934430547,-0.03882699579116529,-0.018582074980345063,-0.02508283585175315,0.007395871288031065,-0.010699237752817045
