company_code,sample_portfolio_year,one_way_cost_bps,effective_spread_bps,c_gibbs,c_gibbs_sd,c_gibbs_p05,c_gibbs_p95,n_prices,apply_portfolio_year,estimator,is_lookahead_safe
289,2005,81.8063380768631,163.6126761537262,0.00818063380768631,0.004214525555457249,0.0008736739045679418,0.014475371530105743,179,2006,Hasbrouck2009_market_factor_Gibbs,True
363,2005,39.69692004163873,79.39384008327745,0.003969692004163873,0.00281793415474296,0.000347625756820788,0.009294676953527313,179,2006,Hasbrouck2009_market_factor_Gibbs,True
783,2005,35.94955916282885,71.8991183256577,0.003594955916282885,0.002628632225387596,0.00027957429671767955,0.008432462479746253,179,2006,Hasbrouck2009_market_factor_Gibbs,True
2248,2005,97.79641819768733,195.59283639537466,0.009779641819768732,0.0045399412011387285,0.0016439604440062663,0.016483353599730098,179,2006,Hasbrouck2009_market_factor_Gibbs,True
2842,2005,224.89165286966062,449.78330573932124,0.02248916528696606,0.005066334626382722,0.012960717950628555,0.029534904963578083,175,2006,Hasbrouck2009_market_factor_Gibbs,True
3335,2005,115.68487260836851,231.36974521673702,0.011568487260836851,0.003081958352081379,0.0061333855765557,0.016184843102246434,179,2006,Hasbrouck2009_market_factor_Gibbs,True
3990,2005,31.481909752020158,62.963819504040316,0.003148190975202016,0.0018932040374122804,0.0003435807312403428,0.006501244552832771,179,2006,Hasbrouck2009_market_factor_Gibbs,True
3998,2005,33.780286947416386,67.56057389483277,0.0033780286947416387,0.002348289288042656,0.00030946325358085646,0.007697481899858468,179,2006,Hasbrouck2009_market_factor_Gibbs,True
4253,2005,30.47912944594328,60.95825889188656,0.003047912944594328,0.0022508794939277623,0.00023775266624039882,0.007264321902431042,179,2006,Hasbrouck2009_market_factor_Gibbs,True
4671,2005,50.01781102805482,100.03562205610964,0.005001781102805482,0.0024627240218151845,0.0006034570679830073,0.008897088311504094,179,2006,Hasbrouck2009_market_factor_Gibbs,True
4709,2005,35.72282650056009,71.44565300112018,0.003572282650056009,0.0022199462632557783,0.00035131862635835384,0.0073543094841562765,179,2006,Hasbrouck2009_market_factor_Gibbs,True
5284,2005,100.73304601857114,201.4660920371423,0.010073304601857114,0.004742565680504093,0.0018143036553305545,0.017338161607734215,175,2006,Hasbrouck2009_market_factor_Gibbs,True
5396,2005,157.51812197323423,315.03624394646846,0.015751812197323422,0.0034529106918110932,0.009600888311655247,0.02089937220989328,171,2006,Hasbrouck2009_market_factor_Gibbs,True
5568,2005,48.09374803656369,96.18749607312738,0.004809374803656369,0.003331032794276618,0.0004147560927262593,0.010959572437952678,174,2006,Hasbrouck2009_market_factor_Gibbs,True
5574,2005,68.65060355327309,137.30120710654617,0.0068650603553273085,0.004867173692959331,0.0005082778978703404,0.016043283175507118,167,2006,Hasbrouck2009_market_factor_Gibbs,True
5695,2005,202.3436346959172,404.6872693918344,0.020234363469591718,0.003767452367142076,0.013719613919464474,0.026058530413670778,171,2006,Hasbrouck2009_market_factor_Gibbs,True
5747,2005,20.485606536469565,40.97121307293913,0.0020485606536469565,0.0015463540498279627,0.00017381351159820318,0.0050810375380080375,179,2006,Hasbrouck2009_market_factor_Gibbs,True
5921,2005,124.17306363924409,248.34612727848818,0.01241730636392441,0.006453958497222955,0.0017111827587912433,0.022860773443858725,126,2006,Hasbrouck2009_market_factor_Gibbs,True
6916,2005,88.09590427731239,176.19180855462477,0.008809590427731238,0.004311192222908598,0.0013089267865567804,0.015308634671697187,179,2006,Hasbrouck2009_market_factor_Gibbs,True
6923,2005,35.846222442778604,71.69244488555721,0.00358462224427786,0.0022340197522531897,0.0003716268470608209,0.007597029744350327,179,2006,Hasbrouck2009_market_factor_Gibbs,True
7002,2005,78.08279148770731,156.16558297541462,0.0078082791487707305,0.004464776466513596,0.0009124515440885204,0.015470792961331158,179,2006,Hasbrouck2009_market_factor_Gibbs,True
7068,2005,35.425434580125895,70.85086916025179,0.0035425434580125892,0.002546699587353611,0.00029749735116022446,0.008311413422263767,179,2006,Hasbrouck2009_market_factor_Gibbs,True
8183,2005,47.55155897044795,95.1031179408959,0.004755155897044795,0.0026860736712329726,0.0005576931938777625,0.009179409532817947,179,2006,Hasbrouck2009_market_factor_Gibbs,True
8378,2005,123.04529436409814,246.09058872819628,0.012304529436409814,0.004001578962920233,0.004250235461910773,0.01774501022056009,174,2006,Hasbrouck2009_market_factor_Gibbs,True
8523,2005,74.89220809673802,149.78441619347603,0.007489220809673802,0.003931185936260582,0.0010314171760758626,0.013612035884499694,179,2006,Hasbrouck2009_market_factor_Gibbs,True
8893,2005,30.96863388396181,61.93726776792362,0.003096863388396181,0.002118601742331371,0.00026739570819037437,0.00691586232389442,179,2006,Hasbrouck2009_market_factor_Gibbs,True
9431,2005,131.33326031860818,262.66652063721637,0.013133326031860819,0.0025157864519001266,0.008979682281216426,0.01677066649373482,179,2006,Hasbrouck2009_market_factor_Gibbs,True
